对应主索节点编号,下端点X坐标（米）,下端点Y坐标（米）,下端点Z坐标（米）,基准态时上端点X坐标（米）,基准态时上端点Y坐标（米）,基准态时上端点Z坐标（米）
D75,-80.4330,-68.6610,-285.6260,-79.9101,-68.2146,-283.7692
D76,-89.7414,-61.1050,-284.5021,-89.1579,-60.7077,-282.6522
D77,-98.9037,-53.4560,-282.9281,-98.2605,-53.1083,-281.0880
D78,-107.8957,-45.7220,-280.8825,-107.1938,-45.4245,-279.0552
E67,-116.7617,-37.9380,-278.5146,-116.0021,-37.6912,-276.7028
E68,-114.2375,-26.4460,-281.0617,-113.4948,-26.2741,-279.2344
E69,-111.4008,-14.8810,-282.8391,-110.6761,-14.7842,-280.9990
E70,-108.4935,-3.3120,-284.4345,-107.7879,-3.2905,-282.5846
E71,-105.3818,8.2670,-285.4966,-104.6964,8.2132,-283.6398
E72,-101.8090,20.0830,-286.1999,-101.1468,19.9524,-284.3385
E73,-98.0692,31.8650,-286.4340,-97.4314,31.6578,-284.5710
E74,-94.1965,43.6080,-286.2826,-93.5840,43.3245,-284.4212
E75,-90.0880,55.2380,-285.4118,-89.5019,54.8786,-283.5550
E76,-85.8251,66.4500,-284.4309,-85.2669,66.0178,-282.5810
E77,-81.4578,77.5960,-283.1176,-80.9284,77.0917,-281.2775
E78,-76.8415,88.5040,-280.9371,-76.3417,87.9283,-279.1098
A67,-72.1780,99.3450,-278.5739,-71.7086,98.6989,-276.7621
A80,-66.1586,108.3460,-276.6942,-65.7283,107.6413,-274.8946
A81,-54.3648,109.3770,-278.9012,-54.0113,108.6657,-277.0875
A82,-42.4743,110.2830,-280.7541,-42.1982,109.5662,-278.9292
A83,-30.5191,111.0000,-282.0839,-30.3208,110.2786,-280.2507
A84,-18.5593,111.3740,-282.8059,-18.4386,110.6498,-280.9670
A85,-6.1999,111.5950,-283.4086,-6.1596,110.8697,-281.5667
A86,6.1961,111.5280,-283.2374,6.1558,110.8027,-281.3955
A87,18.5600,111.3780,-282.8169,18.4393,110.6538,-280.9780
A88,30.5176,110.9940,-282.0701,30.3193,110.2726,-280.2369
A89,42.4673,110.2650,-280.7080,42.1912,109.5482,-278.8831
A90,54.3601,109.3670,-278.8772,54.0066,108.6557,-277.0635
A91,66.1541,108.3390,-276.6756,65.7238,107.6343,-274.8760
B79,77.8370,107.1340,-274.2938,77.3310,106.4376,-272.5107
B80,82.5501,96.3450,-276.5308,82.0129,95.7180,-274.7312
B81,87.2081,85.4880,-278.8523,86.6409,84.9320,-277.0386
B82,91.6712,74.4030,-280.4834,91.0748,73.9189,-278.6585
B83,96.0517,63.2720,-281.8381,95.4269,62.8604,-280.0049
B84,100.6083,52.2870,-283.9942,99.9569,51.9484,-282.1553
B85,104.6796,40.5600,-284.6663,104.0023,40.2976,-282.8244
B86,109.0598,28.8560,-286.0605,108.3576,28.6702,-284.2186
B87,113.2967,17.0120,-286.9578,112.5707,16.9030,-285.1189
B88,116.9590,5.3650,-286.8956,116.2116,5.3307,-285.0624
B89,121.3368,-6.4940,-288.6684,120.5697,-6.4529,-286.8435
B90,124.9714,-18.5190,-288.4779,124.1857,-18.4026,-286.6642
B91,127.2973,-30.3470,-285.2315,126.4941,-30.1555,-283.4319
C79,129.8662,-42.1960,-282.8383,129.0475,-41.9300,-281.0552
C80,120.1769,-50.0020,-283.7042,119.4146,-49.6848,-281.9046
C81,109.8949,-57.3790,-283.0822,109.1908,-57.0114,-281.2685
C82,99.6611,-64.5630,-282.1020,99.0164,-64.1453,-280.2771
C83,89.9258,-71.8540,-282.0579,89.3413,-71.3870,-280.2247
C84,80.4782,-79.1940,-282.8051,79.9549,-78.6791,-280.9662
C85,70.5701,-86.5890,-283.2503,70.1112,-86.0259,-281.4084
C86,60.5491,-93.8810,-283.2735,60.1554,-93.2706,-281.4316
C87,50.4193,-100.9520,-282.6397,50.0913,-100.2952,-280.8008
C88,40.5126,-107.6310,-281.8015,40.2491,-106.9308,-279.9683
C89,30.4494,-114.1460,-280.6559,30.2514,-113.4038,-278.8310
C90,20.2957,-120.3700,-278.7350,20.1636,-119.5868,-276.9213
C91,10.1580,-126.5070,-276.6220,10.0919,-125.6840,-274.8224
D79,0.0000,-132.2970,-274.0303,0.0000,-131.4362,-272.2472
D80,-10.1552,-126.4720,-276.5449,-10.0891,-125.6490,-274.7453
D81,-20.3149,-120.4840,-278.9993,-20.1828,-119.7008,-277.1856
D82,-30.4501,-114.1490,-280.6632,-30.2521,-113.4068,-278.8383
D83,-40.5087,-107.6200,-281.7739,-40.2452,-106.9198,-279.9407
D84,-50.4618,-101.0370,-282.8780,-50.1338,-100.3802,-281.0391
D85,-60.5243,-93.8430,-283.1575,-60.1306,-93.2326,-281.3156
D86,-70.5789,-86.6000,-283.2854,-70.1200,-86.0369,-281.4435
D87,-80.4769,-79.1920,-282.8007,-79.9536,-78.6771,-280.9618
D88,-89.8297,-71.7770,-281.7563,-89.2452,-71.3100,-279.9231
D89,-99.1010,-64.2000,-280.5166,-98.4563,-63.7823,-278.6917
D90,-108.2014,-56.4960,-278.7234,-107.4973,-56.1284,-276.9097
D91,-117.1821,-48.7560,-276.6344,-116.4198,-48.4388,-274.8348
E79,-125.8692,-40.8970,-274.1332,-125.0505,-40.6310,-272.3501
E80,-123.4182,-29.4230,-276.5397,-122.6150,-29.2315,-274.7401
E81,-120.8279,-17.9050,-278.9133,-120.0422,-17.7886,-277.0996
E82,-117.9119,-6.3100,-280.5202,-117.1448,-6.2690,-278.6953
E83,-114.9114,5.2710,-281.8730,-114.1640,5.2367,-280.0398
E84,-111.5925,16.7560,-282.6413,-110.8665,16.6470,-280.8024
E85,-108.0005,28.5760,-283.2819,-107.2983,28.3902,-281.4400
E86,-104.1193,40.3430,-283.1426,-103.4420,40.0806,-281.3007
E87,-100.1976,52.0730,-282.8352,-99.5462,51.7344,-280.9963
E88,-96.0520,63.2720,-281.8390,-95.4272,62.8604,-280.0058
E89,-91.6680,74.4000,-280.4736,-91.0716,73.9159,-278.6487
E90,-87.1681,85.4490,-278.7245,-86.6009,84.8930,-276.9108
E91,-82.5845,96.3850,-276.6461,-82.0473,95.7580,-274.8465
A79,-77.8255,107.1180,-274.2533,-77.3195,106.4216,-272.4702
A93,-71.7189,115.9950,-272.0468,-71.2523,115.2403,-270.2768
A94,-60.0216,117.1440,-274.3091,-59.6310,116.3817,-272.5240
A95,-48.2123,118.2060,-276.5156,-47.8989,117.4375,-274.7179
A96,-36.2306,118.8460,-277.7348,-35.9948,118.0726,-275.9274
A97,-24.3361,119.4350,-278.9694,-24.1778,118.6582,-277.1550
A98,-12.3892,119.8300,-279.7533,-12.3087,119.0510,-277.9347
A99,0.0000,119.8360,-279.7633,0.0000,119.0564,-277.9432
A100,12.3898,119.8360,-279.7666,12.3093,119.0570,-277.9480
A101,24.3275,119.3930,-278.8700,24.1692,118.6162,-277.0556
A102,36.2457,118.8950,-277.8503,36.0099,118.1216,-276.0429
A103,48.1957,118.1650,-276.4208,47.8823,117.3965,-274.6231
A104,60.0274,117.1550,-274.3354,59.6368,116.3927,-272.5503
A105,71.7421,116.0330,-272.1349,71.2755,115.2783,-270.3649
B92,83.2853,114.6330,-269.2832,82.7434,113.8871,-267.5310
B93,88.1228,104.0150,-271.9467,87.5492,103.3380,-270.1767
B94,92.8732,93.2950,-274.3414,92.2689,92.6879,-272.5563
B95,97.5462,82.4010,-276.5854,96.9122,81.8654,-274.7877
B96,102.3095,71.5160,-279.0346,101.6468,71.0528,-277.2272
B97,106.3445,60.2090,-279.6949,105.6546,59.8184,-277.8805
B98,111.0891,49.2350,-282.1714,110.3731,48.9177,-280.3528
B99,115.0220,37.3740,-282.3468,114.2805,37.1331,-280.5267
B100,119.2004,25.5480,-283.0934,118.4347,25.3839,-281.2748
B101,123.4400,14.0280,-284.3384,122.6523,13.9385,-282.5240
B102,127.6349,2.3300,-285.3591,126.8265,2.3152,-283.5517
B103,131.4683,-9.6280,-285.5285,130.6406,-9.5674,-283.7308
B104,134.5631,-21.6250,-284.0303,133.7174,-21.4891,-282.2452
B105,137.2008,-33.5170,-281.7411,136.3388,-33.3064,-279.9711
C92,139.0941,-45.1940,-277.9468,138.2172,-44.9091,-276.1946
C93,129.7029,-53.1200,-279.5941,128.8818,-52.7837,-277.8241
C94,119.9607,-60.7820,-280.2600,119.1966,-60.3948,-278.4749
C95,109.5311,-67.9410,-279.1847,108.8258,-67.5035,-277.3870
C96,99.4243,-75.0460,-278.4560,98.7790,-74.5589,-276.6486
C97,89.9311,-82.3570,-279.0967,89.3465,-81.8216,-277.2823
C98,80.3735,-89.5690,-279.4605,79.8505,-88.9861,-277.6419
C99,70.4747,-96.9990,-279.9129,70.0165,-96.3683,-278.0928
C100,60.3675,-104.1510,-279.5498,59.9748,-103.4735,-277.7312
C101,50.4882,-110.8730,-278.8296,50.1597,-110.1515,-277.0152
C102,40.5825,-117.5540,-277.9955,40.3187,-116.7897,-276.1881
C103,30.4713,-123.9530,-276.4829,30.2732,-123.1471,-274.6852
C104,20.3153,-130.1700,-274.5620,20.1832,-129.3237,-272.7769
C105,10.1594,-136.0130,-272.0785,10.0933,-135.1281,-270.3085
D92,0.0000,-141.6640,-269.2288,0.0000,-140.7420,-267.4766
D93,-10.1638,-136.0730,-272.1984,-10.0977,-135.1881,-270.4284
D94,-20.2979,-130.0590,-274.3264,-20.1658,-129.2127,-272.5413
D95,-30.4800,-123.9890,-276.5624,-30.2819,-123.1831,-274.7647
D96,-40.5472,-117.4520,-277.7540,-40.2834,-116.6877,-275.9466
D97,-50.5410,-110.9890,-279.1217,-50.2125,-110.2675,-277.3073
D98,-60.3567,-104.1320,-279.4995,-59.9640,-103.4545,-277.6809
D99,-70.4668,-96.9880,-279.8813,-70.0086,-96.3573,-278.0612
D100,-80.4445,-89.6480,-279.7074,-79.9215,-89.0651,-277.8888
D101,-89.8445,-82.2780,-278.8279,-89.2599,-81.7426,-277.0135
D102,-99.2407,-74.9070,-277.9416,-98.5954,-74.4199,-276.1342
D103,-108.4632,-67.2780,-276.4629,-107.7579,-66.8405,-274.6652
D104,-117.4732,-59.5210,-274.4484,-116.7091,-59.1339,-272.6633
D105,-126.1844,-51.6790,-272.0094,-125.3633,-51.3427,-270.2394
E92,-134.7445,-43.7810,-269.2552,-133.8676,-43.4961,-267.5030
E93,-132.5676,-32.3850,-272.2268,-131.7056,-32.1744,-270.4568
E94,-129.9546,-20.8840,-274.3029,-129.1089,-20.7481,-272.5178
E95,-127.3286,-9.3250,-276.5378,-126.5009,-9.2644,-274.7401
E96,-124.2286,2.2680,-277.7435,-123.4202,2.2532,-275.9361
E97,-121.1335,13.7660,-279.0256,-120.3458,13.6765,-277.2112
E98,-117.7223,25.2320,-279.5832,-116.9566,25.0679,-277.7646
E99,-113.9823,37.0360,-279.7947,-113.2408,36.7951,-277.9746
E100,-110.1354,48.8120,-279.7490,-109.4194,48.4947,-277.9304
E101,-106.0198,60.0250,-278.8410,-105.3299,59.6344,-277.0266
E102,-101.8910,71.2240,-277.8932,-101.2283,70.7608,-276.0858
E103,-97.4957,82.3590,-276.4422,-96.8617,81.8234,-274.6445
E104,-92.8846,93.3060,-274.3753,-92.2803,92.6989,-272.5902
E105,-88.1388,104.0340,-271.9963,-87.5652,103.3570,-270.2263
A92,-83.3719,114.7520,-269.5632,-82.8300,114.0061,-267.8110
A107,-77.2160,123.5680,-267.1574,-76.7136,122.7640,-265.4191
A108,-65.5496,124.7740,-269.5664,-65.1229,123.9618,-267.8118
A109,-53.8785,125.9310,-271.8984,-53.5281,125.1120,-270.1301
A110,-41.9458,126.7180,-273.4711,-41.6729,125.8935,-271.6917
A111,-30.0667,127.3130,-274.6578,-29.8710,126.4844,-272.8702
A112,-18.1512,127.8680,-275.7894,-18.0332,127.0366,-273.9963
A113,-6.1938,128.0070,-276.0570,-6.1535,127.1742,-274.2611
A114,6.1945,128.0200,-276.0858,6.1542,127.1872,-274.2899
A115,18.1534,127.8840,-275.8237,18.0354,127.0526,-274.0306
A116,30.0686,127.3210,-274.6757,29.8729,126.4924,-272.8881
A117,41.9683,126.7860,-273.6178,41.6954,125.9615,-271.8384
A118,53.8592,125.8860,-271.8009,53.5088,125.0670,-270.0326
A119,65.5579,124.7900,-269.6004,65.1312,123.9778,-267.8458
A120,77.2920,123.6910,-267.4234,76.7896,122.8870,-265.6851
B106,88.6769,122.0540,-264.1202,88.0997,121.2595,-262.4009
B107,93.6179,111.5740,-267.0430,93.0085,110.8477,-265.3047
B108,98.4929,100.9830,-269.7910,97.8523,100.3262,-268.0364
B109,103.3651,90.3730,-272.5508,102.6945,89.7867,-270.7825
B110,108.1553,79.4930,-275.0024,107.4555,78.9787,-273.2230
B111,113.0980,68.7320,-277.8701,112.3704,68.2898,-276.0825
B112,117.6721,57.5950,-279.7646,116.9179,57.2259,-277.9715
B113,121.7199,46.1650,-280.4165,120.9404,45.8693,-278.6206
B114,125.8327,34.2590,-280.9173,125.0282,34.0400,-279.1214
B115,130.2094,22.7740,-282.2739,129.3823,22.6293,-280.4808
B116,134.0821,11.0530,-282.4722,133.2336,10.9831,-280.6846
B117,137.6453,-0.7580,-282.0116,136.7768,-0.7532,-280.2322
B118,141.3374,-12.7710,-281.7067,140.4502,-12.6908,-279.9384
B119,144.4550,-24.7310,-280.3011,143.5507,-24.5762,-278.5465
B120,146.4860,-36.5260,-276.8059,145.5661,-36.2966,-275.0676
C106,148.2728,-48.1760,-272.9384,147.3388,-47.8725,-271.2191
C107,138.8274,-56.0870,-274.5286,137.9484,-55.7319,-272.7903
C108,129.3172,-63.8690,-275.8513,128.4946,-63.4627,-274.0967
C109,119.4525,-71.3110,-276.1609,118.6876,-70.8544,-274.3926
C110,109.2222,-78.4390,-275.5017,108.5168,-77.9324,-273.7223
C111,99.2184,-85.3770,-274.8277,98.5730,-84.8217,-273.0401
C112,89.7974,-92.7300,-275.6488,89.2133,-92.1268,-273.8557
C113,80.2674,-99.9380,-276.1122,79.7453,-99.2880,-274.3163
C114,70.2466,-107.2260,-276.1238,69.7897,-106.5286,-274.3279
C115,60.4645,-114.0980,-275.7464,60.0713,-113.3560,-273.9533
C116,50.5518,-120.7740,-274.8951,50.2231,-119.9886,-273.1075
C117,40.5378,-127.1400,-273.4060,40.2740,-126.3126,-271.6266
C118,30.4094,-133.4520,-271.7007,30.2115,-132.5835,-269.9324
C119,20.3194,-139.5420,-269.7000,20.1872,-138.6342,-267.9454
C120,10.1669,-145.4290,-267.2951,10.1008,-144.4832,-265.5568
D106,0.0000,-151.0210,-264.3911,0.0000,-150.0389,-262.6718
D107,-10.1587,-145.3110,-267.0798,-10.0926,-144.3653,-265.3415
D108,-20.3370,-139.6630,-269.9330,-20.2048,-138.7552,-268.1784
D109,-30.4094,-133.4520,-271.7007,-30.2115,-132.5835,-269.9324
D110,-40.5871,-127.2950,-273.7387,-40.3233,-126.4676,-271.9593
D111,-50.5221,-120.7040,-274.7339,-50.1934,-119.9186,-272.9463
D112,-60.4422,-114.0560,-275.6443,-60.0490,-113.3140,-273.8512
D113,-70.2395,-107.2150,-276.0958,-69.7826,-106.5176,-274.2999
D114,-80.2633,-99.9330,-276.0982,-79.7412,-99.2830,-274.3023
D115,-89.8576,-92.7930,-275.8337,-89.2735,-92.1898,-274.0406
D116,-99.2146,-85.3740,-274.8174,-98.5692,-84.8187,-273.0298
D117,-108.3927,-77.8430,-273.4094,-107.6873,-77.3364,-271.6300
D118,-117.5806,-70.1930,-271.8332,-116.8157,-69.7364,-270.0649
D119,-126.4993,-62.4780,-269.8404,-125.6767,-62.0717,-268.0858
D120,-135.0925,-54.5780,-267.1428,-134.2135,-54.2229,-265.4045
E106,-143.4688,-46.6150,-264.0953,-142.5348,-46.3115,-262.3760
E107,-141.4245,-35.2640,-267.2413,-140.5046,-35.0346,-265.5030
E108,-138.9501,-23.7880,-269.6195,-138.0458,-23.6332,-267.8649
E109,-136.3267,-12.3180,-271.7195,-135.4395,-12.2378,-269.9512
E110,-133.5467,-0.7350,-273.6141,-132.6782,-0.7302,-271.8347
E111,-130.3818,10.7470,-274.6767,-129.5333,10.6771,-272.8891
E112,-127.1830,22.2450,-275.7133,-126.3559,22.1003,-273.9202
E113,-123.6648,33.6680,-276.0776,-122.8603,33.4490,-274.2817
E114,-119.8401,45.4520,-276.0859,-119.0606,45.1563,-274.2900
E115,-116.0316,56.7920,-275.8644,-115.2774,56.4229,-274.0713
E116,-111.8195,67.9550,-274.7289,-111.0919,67.5128,-272.9413
E117,-107.5539,79.0510,-273.4734,-106.8541,78.5367,-271.6940
E118,-103.1673,90.2000,-272.0293,-102.4967,89.6137,-270.2610
E119,-98.4162,100.9050,-269.5809,-97.7756,100.2482,-267.8263
E120,-93.6221,111.5790,-267.0553,-93.0127,110.8527,-265.3170
A106,-88.8095,122.2360,-264.5150,-88.2323,121.4415,-262.7957
A122,-82.5749,130.9400,-261.8781,-82.0374,130.0878,-260.1736
A123,-71.0021,132.2610,-264.5222,-70.5399,131.4000,-262.8002
A124,-59.3743,133.4910,-266.9819,-58.9880,132.6225,-265.2450
A125,-47.6087,134.4290,-268.8557,-47.2990,133.5544,-267.1065
A126,-35.7560,135.1040,-270.2073,-35.5233,134.2247,-268.4486
A127,-23.8809,135.7010,-271.4008,-23.7256,134.8182,-269.6353
A128,-11.9497,136.0160,-272.0318,-11.8720,135.1312,-270.2622
A129,0.0000,136.0550,-272.1094,0.0000,135.1695,-270.3384
A130,11.9552,136.0780,-272.1561,11.8775,135.1932,-270.3865
A131,23.8754,135.6700,-271.3387,23.7201,134.7872,-269.5732
A132,36.1385,136.5490,-270.3646,35.9039,135.6627,-268.6097
A133,47.6357,134.5050,-269.0079,47.3260,133.6304,-267.2587
A134,59.3413,133.4170,-266.8337,58.9550,132.5485,-265.0968
A135,71.0650,132.3790,-264.7567,70.6028,131.5180,-263.0347
A136,82.5879,130.9600,-261.9193,82.0504,130.1078,-260.2148
B121,93.9784,129.3500,-258.7002,93.3665,128.5079,-257.0159
B122,99.1197,119.1240,-262.1592,98.4753,118.3495,-260.4547
B123,104.0066,108.5650,-264.9290,103.3306,107.8593,-263.2070
B124,109.0657,98.1300,-268.1027,108.3591,97.4943,-266.3658
B125,114.3010,87.7130,-271.6228,113.5649,87.1482,-269.8736
B126,119.0894,76.8180,-273.9977,118.3250,76.3249,-272.2390
B127,123.2594,65.4860,-274.9256,122.4679,65.0655,-273.1601
B128,128.1724,54.4610,-277.4571,127.3549,54.1137,-275.6875
B129,132.0666,42.9110,-277.7260,131.2245,42.6374,-275.9550
B130,135.9845,31.3430,-278.0284,135.1190,31.1435,-276.2588
B131,140.0070,19.7250,-278.4996,139.1194,19.6000,-276.7341
B132,144.0182,7.9920,-278.8782,143.1100,7.9416,-277.1195
B133,147.4480,-3.8660,-278.0733,146.5205,-3.8417,-276.3241
B134,150.8894,-15.8020,-277.2424,149.9441,-15.7030,-275.5055
B135,153.5713,-27.7100,-274.9840,152.6096,-27.5365,-273.2620
B136,155.7812,-39.5250,-271.8853,154.8046,-39.2772,-270.1808
C121,156.8892,-50.9760,-266.9158,155.8992,-50.6543,-265.2315
C122,147.7322,-58.9780,-269.0980,146.7965,-58.6044,-267.3935
C123,138.5004,-66.8690,-271.0137,137.6204,-66.4441,-269.2917
C124,128.8300,-74.4440,-271.9019,128.0070,-73.9684,-270.1650
C125,118.6416,-81.5330,-271.3961,117.8769,-81.0075,-269.6469
C126,108.4722,-88.3920,-270.5392,107.7671,-87.8174,-268.7805
C127,99.0953,-95.7590,-271.4352,98.4508,-95.1362,-269.6697
C128,89.5883,-102.9840,-271.9487,89.0053,-102.3139,-270.1791
C129,80.0726,-110.2100,-272.4552,79.5521,-109.4936,-270.6842
C130,70.2714,-117.0470,-271.9961,69.8142,-116.2855,-270.2265
C131,60.4168,-123.7670,-271.2849,60.0236,-122.9615,-269.5194
C132,50.5266,-130.4260,-270.4312,50.1980,-129.5778,-268.6725
C133,40.5105,-136.7790,-268.9361,40.2470,-135.8894,-267.1869
C134,30.4260,-142.8800,-266.9545,30.2280,-141.9504,-265.2176
C135,20.2984,-148.7290,-264.5108,20.1663,-147.7607,-262.7888
C136,10.1577,-154.4410,-261.8318,10.0916,-153.4356,-260.1273
D121,0.0000,-159.9410,-258.7898,0.0000,-158.9001,-257.1055
D122,-10.1620,-154.5060,-261.9421,-10.0959,-153.5006,-260.2376
D123,-20.3021,-148.7560,-264.5604,-20.1700,-147.7877,-262.8384
D124,-30.4462,-142.9750,-267.1313,-30.2482,-142.0453,-265.3944
D125,-40.4787,-136.6710,-268.7252,-40.2152,-135.7814,-266.9760
D126,-50.5491,-130.4840,-270.5520,-50.2205,-129.6358,-268.7933
D127,-60.4155,-123.7650,-271.2789,-60.0223,-122.9595,-269.5134
D128,-70.2817,-117.0650,-272.0362,-69.8245,-116.3035,-270.2666
D129,-80.0151,-110.1310,-272.2595,-79.4946,-109.4146,-270.4885
D130,-89.5807,-102.9750,-271.9257,-88.9977,-102.3049,-270.1561
D131,-99.0886,-95.7520,-271.4168,-98.4440,-95.1292,-269.6513
D132,-108.4137,-88.3450,-270.3933,-107.7086,-87.7704,-268.6346
D133,-117.4724,-80.7300,-268.7216,-116.7077,-80.2045,-266.9724
D134,-126.4425,-73.0640,-266.8631,-125.6195,-72.5884,-265.1262
D135,-135.3473,-65.3460,-264.8437,-134.4673,-64.9211,-263.1217
D136,-143.8235,-57.4170,-261.9783,-142.8878,-57.0434,-260.2738
E121,-152.0728,-49.4110,-258.7217,-151.0828,-49.0893,-257.0374
E122,-150.0638,-38.0750,-261.9066,-149.0872,-37.8272,-260.2021
E123,-147.8623,-26.6800,-264.7614,-146.9006,-26.5065,-263.0394
E124,-145.2312,-15.2090,-266.8461,-144.2859,-15.1100,-265.1092
E125,-142.6147,-3.7400,-268.9581,-141.6872,-3.7157,-267.2089
E126,-139.5909,7.7460,-270.3050,-138.6827,7.6956,-268.5463
E127,-136.3658,19.2120,-271.2565,-135.4782,19.0870,-269.4910
E128,-133.1622,30.6920,-272.2581,-132.2967,30.4925,-270.4885
E129,-129.4109,42.0480,-272.1414,-128.5688,41.7744,-270.3704
E130,-125.6350,53.3830,-271.9644,-124.8175,53.0357,-270.1948
E131,-121.7572,64.6880,-271.5748,-120.9657,64.2675,-269.8093
E132,-117.4451,75.7580,-270.2145,-116.6807,75.2649,-268.4558
E133,-113.1223,86.8080,-268.8218,-112.3862,86.2432,-267.0726
E134,-108.6976,97.7990,-267.1978,-107.9910,97.1633,-265.4609
E135,-103.8469,108.3980,-264.5222,-103.1709,107.6923,-262.8002
E136,-99.0186,119.0030,-261.8921,-98.3742,118.2285,-260.1876
A121,-94.1264,129.5540,-259.1077,-93.5145,128.7119,-257.4234
A138,-88.8562,139.5850,-255.2830,-88.2779,138.6765,-253.6215
A139,-77.3301,140.9960,-258.1109,-76.8266,140.0780,-256.4304
A140,-65.7596,142.4130,-260.9145,-65.3319,141.4868,-259.2176
A141,-54.0162,143.4250,-262.9444,-53.6648,142.4919,-261.2338
A142,-42.0326,144.1870,-264.4654,-41.7590,143.2483,-262.7437
A143,-30.1790,144.8780,-265.8385,-29.9826,143.9352,-264.1085
A144,-18.2479,145.4260,-266.9120,-18.1292,144.4804,-265.1764
A145,-6.2861,145.4800,-267.0448,-6.2452,144.5330,-265.3064
A146,6.2891,145.5500,-267.1745,6.2482,144.6030,-265.4361
A147,18.2416,145.3750,-266.8195,18.1229,144.4294,-265.0839
A148,30.1686,144.8280,-265.7476,29.9722,143.8852,-264.0176
A149,42.0856,144.3680,-264.7985,41.8120,143.4293,-263.0768
A150,53.9876,143.3490,-262.8049,53.6362,142.4159,-261.0943
A151,65.7193,142.3260,-260.7546,65.2916,141.3998,-259.0577
A152,77.4282,141.1750,-258.4385,76.9247,140.2570,-256.7580
A153,88.8198,139.5280,-255.1783,88.2415,138.6195,-253.5168
B137,99.2024,136.5410,-253.0665,98.5567,135.6522,-251.4192
B138,105.3946,127.7620,-255.5240,104.7093,126.9312,-253.8625
B139,110.6713,117.6180,-259.2185,109.9538,116.8555,-257.5380
B140,116.0552,107.4130,-263.0295,115.3065,106.7200,-261.3326
B141,121.0525,96.7640,-265.8849,120.2737,96.1414,-264.1743
B142,126.5225,86.1540,-269.5413,125.7143,85.6037,-267.8196
B143,131.3984,75.1520,-271.9175,130.5624,74.6739,-270.1875
B144,135.8336,63.7800,-273.2784,134.9709,63.3749,-271.5428
B145,139.6595,52.1460,-273.3932,138.7715,51.8144,-271.6548
B146,143.8840,39.9730,-273.8635,142.9707,39.7193,-272.1251
B147,148.0183,28.3650,-274.4609,147.0823,28.1856,-272.7253
B148,151.5295,16.5500,-273.8202,150.5721,16.4454,-272.0902
B149,155.6342,4.7500,-274.1843,154.6569,4.7202,-272.4626
B150,159.3272,-7.3380,-273.6437,158.3312,-7.2921,-271.9331
B151,162.2949,-19.3100,-271.8547,161.2818,-19.1895,-270.1578
B152,164.2294,-31.1580,-268.3025,163.2007,-30.9628,-266.6220
B153,166.1139,-42.8970,-264.6882,165.0712,-42.6277,-263.0267
C137,165.7324,-53.8500,-261.2957,164.6876,-53.5105,-259.6484
C138,158.1554,-62.3630,-262.2867,157.1535,-61.9679,-260.6252
C139,148.6540,-70.1320,-263.8211,147.7071,-69.6853,-262.1406
C140,139.5113,-78.0170,-265.8740,138.6209,-77.5191,-264.1771
C141,130.0265,-85.6150,-267.1002,129.1937,-85.0667,-265.3896
C142,120.2269,-93.0810,-267.7426,119.4538,-92.4824,-266.0209
C143,110.5790,-100.3830,-268.2812,109.8659,-99.7357,-266.5512
C144,100.2699,-106.9550,-266.9861,99.6181,-106.2597,-265.2505
C145,90.6293,-114.0410,-267.1424,90.0396,-113.2989,-265.4040
C146,80.4549,-121.4350,-267.1439,79.9314,-120.6448,-265.4055
C147,70.7415,-128.4230,-267.0074,70.2817,-127.5882,-265.2718
C148,60.7512,-134.9680,-265.8810,60.3559,-134.0898,-264.1510
C149,50.7483,-141.3630,-264.4817,50.4179,-140.4427,-262.7600
C150,40.6006,-147.7730,-262.9270,40.3364,-146.8116,-261.2164
C151,30.5191,-153.9250,-261.0124,30.3207,-152.9243,-259.3155
C152,20.3314,-159.6590,-258.3343,20.1991,-158.6204,-256.6538
C153,10.1655,-165.2470,-255.4257,10.0994,-164.1721,-253.7642
D137,0.0000,-168.8620,-253.2012,0.0000,-167.7634,-251.5539
D138,-10.1589,-165.1400,-255.2601,-10.0928,-164.0651,-253.5986
D139,-20.3217,-159.5820,-258.2111,-20.1894,-158.5434,-256.5306
D140,-30.4884,-153.7690,-260.7492,-30.2900,-152.7683,-259.0523
D141,-40.6077,-147.7990,-262.9728,-40.3435,-146.8376,-261.2622
D142,-50.7476,-141.3610,-264.4780,-50.4172,-140.4407,-262.7563
D143,-60.7860,-135.0450,-266.0332,-60.3907,-134.1668,-264.3032
D144,-70.6584,-128.2720,-266.6938,-70.1986,-127.4372,-264.9582
D145,-80.4493,-121.4270,-267.1252,-79.9258,-120.6368,-265.3868
D146,-90.7039,-114.1350,-267.3624,-90.1142,-113.3929,-265.6240
D147,-100.1414,-106.8180,-266.6440,-99.4896,-106.1227,-264.9084
D148,-109.5560,-99.4550,-265.7992,-108.8429,-98.8077,-264.0692
D149,-118.9235,-92.0720,-264.8400,-118.1504,-91.4734,-263.1183
D150,-127.9632,-84.2570,-262.8618,-127.1304,-83.7087,-261.1512
D151,-136.7663,-76.4820,-260.6426,-135.8759,-75.9841,-258.9457
D152,-145.5163,-68.6520,-258.2525,-144.5694,-68.2053,-256.5720
D153,-154.0008,-60.7250,-255.3966,-152.9989,-60.3299,-253.7351
E137,-160.6445,-52.1960,-253.2740,-159.5997,-51.8565,-251.6267
