节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）
B137,97.9688,134.8430,-249.9196
B138,103.9736,126.0400,-252.0788
B139,108.8552,115.6880,-254.9648
B140,113.5953,105.1370,-257.4542
B141,118.1604,94.4520,-259.5326
B142,122.6154,83.4930,-261.2175
B143,126.8337,72.5410,-262.4713
B144,130.8804,61.4540,-263.3133
B145,134.7277,50.3040,-263.7388
B146,138.5647,38.4950,-263.7389
B147,142.0063,27.2130,-263.3133
B148,145.2491,15.8650,-262.4713
B149,148.2739,4.5250,-261.2175
B150,151.1111,-6.9600,-259.5326
B151,153.6980,-18.2870,-257.4542
B152,156.0653,-29.6090,-254.9648
B153,158.2005,-40.8530,-252.0788
C137,158.5168,-51.5050,-249.9196
C138,152.0002,-59.9360,-252.0788
C139,143.6637,-67.7780,-254.9648
C140,135.0933,-75.5460,-257.4542
C141,126.3425,-83.1900,-259.5326
C142,117.2968,-90.8130,-261.2175
C143,108.1843,-98.2090,-262.4713
C144,98.8905,-105.4840,-263.3133
C145,89.4746,-112.5890,-263.7388
C146,79.4294,-119.8870,-263.7389
C147,69.7628,-126.6470,-263.3133
C148,59.9722,-133.2370,-262.4713
C149,50.1219,-139.6180,-261.2175
C150,40.0765,-145.8660,-259.5326
C151,30.1031,-151.8260,-257.4542
C152,20.0662,-157.5760,-254.9648
C153,10.0323,-163.0820,-252.0788
D137,0.0000,-166.6740,-249.9196
D138,-10.0323,-163.0820,-252.0788
D139,-20.0662,-157.5760,-254.9648
D140,-30.1031,-151.8260,-257.4542
D141,-40.0765,-145.8660,-259.5326
D142,-50.1219,-139.6180,-261.2175
D143,-59.9722,-133.2370,-262.4713
D144,-69.7628,-126.6470,-263.3133
D145,-79.4294,-119.8870,-263.7388
D146,-89.4746,-112.5890,-263.7389
D147,-98.8905,-105.4840,-263.3133
D148,-108.1843,-98.2090,-262.4713
D149,-117.2968,-90.8130,-261.2175
D150,-126.3425,-83.1900,-259.5326
D151,-135.0933,-75.5460,-257.4542
D152,-143.6637,-67.7780,-254.9648
D153,-152.0002,-59.9360,-252.0788
E137,-158.5168,-51.5050,-249.9196
E138,-158.2005,-40.8530,-252.0788
E139,-156.0653,-29.6090,-254.9648
E140,-153.6980,-18.2870,-257.4542
E141,-151.1111,-6.9600,-259.5326
E142,-148.2739,4.5250,-261.2175
E143,-145.2491,15.8650,-262.4713
E144,-142.0063,27.2130,-263.3133
E145,-138.5647,38.4950,-263.7388
E146,-134.7277,50.3040,-263.7389
E147,-130.8804,61.4540,-263.3133
E148,-126.8337,72.5410,-262.4713
E149,-122.6154,83.4930,-261.2175
E150,-118.1604,94.4520,-259.5326
E151,-113.5953,105.1370,-257.4542
E152,-108.8552,115.6880,-254.9648
E153,-103.9736,126.0400,-252.0788
A137,-97.9688,134.8430,-249.9196
A155,-92.8155,144.8160,-246.2801
A156,-82.5180,147.6860,-248.2334
A157,-71.0878,149.0590,-250.9348
A158,-59.5475,150.2000,-253.2474
A159,-47.7988,151.1780,-255.1484
A160,-35.9745,151.9170,-256.6462
A161,-24.2092,152.4640,-257.6992
A162,-12.4063,152.7750,-258.3528
A163,0.0000,152.9050,-258.5734
A164,12.4063,152.7750,-258.3528
A165,24.2092,152.4640,-257.6992
A166,35.9745,151.9170,-256.6462
A167,47.7988,151.1780,-255.1484
A168,59.5475,150.2000,-253.2474
A169,71.0878,149.0590,-250.9348
A170,82.5180,147.6860,-248.2334
A171,92.8155,144.8160,-246.2801
B154,102.9916,141.7560,-244.0045
B155,109.0462,133.0240,-246.2801
B156,114.9581,124.1170,-248.2334
B157,119.7956,113.6700,-250.9348
B158,124.4475,103.0480,-253.2474
B159,129.0081,92.1760,-255.1484
B160,133.3648,81.1590,-256.6462
B161,137.5207,70.1390,-257.6992
B162,141.4635,59.0090,-258.3528
B163,145.4213,47.2510,-258.5734
B164,149.1310,35.4110,-258.3528
B165,152.4828,24.0900,-257.6992
B166,155.5983,12.7310,-256.6462
B167,158.5493,1.2580,-255.1484
B168,161.2499,-10.2180,-253.2474
B169,163.7303,-21.5470,-250.9348
B170,165.9570,-32.8410,-248.2334
B171,166.4094,-43.5220,-246.2801
C154,166.6439,-54.1450,-244.0045
C155,160.2098,-62.6020,-246.2801
C156,153.5660,-70.9770,-248.2334
C157,145.1256,-78.8060,-250.9348
C158,136.4603,-86.5130,-253.2474
C159,127.5302,-94.2100,-255.1484
C160,118.3985,-101.7580,-256.6462
C161,109.2016,-109.1160,-257.6992
C162,99.8355,-116.3050,-258.3528
C163,89.8753,-123.7020,-258.5734
C164,79.7617,-130.8890,-258.3528
C165,70.0304,-137.5750,-257.6992
C166,60.1905,-144.0480,-256.6462
C167,50.1901,-150.4000,-255.1484
C168,40.1104,-156.5150,-253.2474
C169,30.1031,-162.3750,-250.9348
C170,20.0491,-167.9830,-248.2334
C171,10.0311,-171.7130,-246.2801
D154,0.0000,-175.2190,-244.0045
D155,-10.0311,-171.7130,-246.2801
D156,-20.0491,-167.9830,-248.2334
D157,-30.1031,-162.3750,-250.9348
D158,-40.1104,-156.5150,-253.2474
D159,-50.1901,-150.4000,-255.1484
D160,-60.1905,-144.0480,-256.6462
D161,-70.0304,-137.5750,-257.6992
D162,-79.7617,-130.8890,-258.3528
D163,-89.8753,-123.7020,-258.5734
D164,-99.8355,-116.3050,-258.3528
D165,-109.2016,-109.1160,-257.6992
D166,-118.3985,-101.7580,-256.6462
D167,-127.5302,-94.2100,-255.1484
D168,-136.4603,-86.5130,-253.2474
D169,-145.1256,-78.8060,-250.9348
D170,-153.5660,-70.9770,-248.2334
D171,-160.2098,-62.6020,-246.2801
E154,-166.6439,-54.1450,-244.0045
E155,-166.4094,-43.5220,-246.2801
E156,-165.9570,-32.8410,-248.2334
E157,-163.7303,-21.5470,-250.9348
E158,-161.2499,-10.2180,-253.2474
E159,-158.5493,1.2580,-255.1484
E160,-155.5983,12.7310,-256.6462
E161,-152.4828,24.0900,-257.6992
E162,-149.1310,35.4110,-258.3528
E163,-145.4213,47.2510,-258.5734
E164,-141.4635,59.0090,-258.3528
E165,-137.5207,70.1390,-257.6992
E166,-133.3648,81.1590,-256.6462
E167,-129.0081,92.1760,-255.1484
E168,-124.4475,103.0480,-253.2474
E169,-119.7956,113.6700,-250.9348
E170,-114.9581,124.1170,-248.2334
E171,-109.0462,133.0240,-246.2801
A154,-102.9916,141.7560,-244.0045
A173,-97.7819,151.6450,-240.1721
A174,-87.5221,154.5860,-242.2464
A175,-77.1678,157.3110,-244.0053
A176,-65.6786,158.5810,-246.5330
A177,-53.9996,159.7130,-248.6285
A178,-42.2064,160.5820,-250.3445
A179,-30.3762,161.1800,-251.6714
A180,-18.5836,161.6170,-252.5369
A181,-6.2083,161.9080,-252.9578
A182,6.2083,161.9080,-252.9578
A183,18.5836,161.6170,-252.5369
A184,30.3762,161.1800,-251.6714
A185,42.2064,160.5820,-250.3445
A186,53.9996,159.7130,-248.6285
A187,65.6786,158.5810,-246.5330
A188,77.1678,157.3110,-244.0053
A189,87.5221,154.5860,-242.2464
A190,97.7819,151.6450,-240.1721
B172,107.8912,148.5000,-237.7973
B173,114.0068,139.8570,-240.1721
B174,119.9739,131.0080,-242.2464
B175,125.7654,122.0030,-244.0053
B176,130.5237,111.4690,-246.5330
B177,135.2089,100.7110,-248.6285
B178,139.6796,89.7630,-250.3445
B179,143.9045,78.6970,-251.6714
B180,147.9638,67.6170,-252.5369
B181,152.0645,55.9370,-252.9578
B182,155.9015,44.1280,-252.9578
B183,159.4491,32.2690,-252.5369
B184,162.6780,20.9180,-251.6714
B185,165.7645,9.4820,-250.3445
B186,168.5824,-2.0020,-248.6285
B187,171.1154,-13.4590,-246.5330
B188,173.4577,-24.7790,-244.0053
B189,174.0655,-35.4680,-242.2464
B190,174.4393,-46.1350,-240.1721
C172,174.5716,-56.7210,-237.7973
C173,168.2420,-65.2080,-240.1721
C174,161.6700,-73.6180,-242.2464
C175,154.8951,-81.9090,-244.0053
C176,146.3467,-89.6890,-246.5330
C177,137.5632,-97.4700,-248.6285
C178,128.5331,-105.1040,-250.3445
C179,119.3140,-112.5420,-251.6714
C180,110.0303,-119.8270,-252.5369
C181,100.1894,-127.3360,-252.9578
C182,90.1441,-134.6350,-252.9578
C183,79.9614,-141.6730,-252.5369
C184,70.1644,-148.2520,-251.6714
C185,60.2418,-154.7210,-250.3445
C186,50.1901,-160.9500,-248.6285
C187,40.0765,-166.8990,-246.5330
C188,30.0350,-172.6250,-244.0053
C189,20.0563,-176.5060,-242.2464
C190,10.0275,-180.1580,-240.1721
D172,0.0000,-183.5550,-237.7973
D173,-10.0275,-180.1580,-240.1721
D174,-20.0563,-176.5060,-242.2464
D175,-30.0350,-172.6250,-244.0053
D176,-40.0765,-166.8990,-246.5330
D177,-50.1901,-160.9500,-248.6285
D178,-60.2418,-154.7210,-250.3445
D179,-70.1644,-148.2520,-251.6714
D180,-79.9614,-141.6730,-252.5369
D181,-90.1441,-134.6350,-252.9578
D182,-100.1894,-127.3360,-252.9578
D183,-110.0303,-119.8270,-252.5369
D184,-119.3140,-112.5420,-251.6714
D185,-128.5331,-105.1040,-250.3445
D186,-137.5632,-97.4700,-248.6285
D187,-146.3467,-89.6890,-246.5330
D188,-154.8950,-81.9090,-244.0053
D189,-161.6700,-73.6180,-242.2464
D190,-168.2420,-65.2080,-240.1721
E172,-174.5716,-56.7210,-237.7973
E173,-174.4393,-46.1350,-240.1721
E174,-174.0655,-35.4680,-242.2464
E175,-173.4577,-24.7790,-244.0053
E176,-171.1154,-13.4590,-246.5330
E177,-168.5824,-2.0020,-248.6285
E178,-165.7645,9.4820,-250.3445
E179,-162.6780,20.9180,-251.6714
E180,-159.4491,32.2690,-252.5369
E181,-155.9015,44.1280,-252.9578
E182,-152.0645,55.9370,-252.9578
E183,-147.9638,67.6170,-252.5369
E184,-143.9045,78.6970,-251.6714
E185,-139.6796,89.7630,-250.3445
E186,-135.2089,100.7110,-248.6285
E187,-130.5237,111.4690,-246.5330
E188,-125.7654,122.0030,-244.0053
E189,-119.9739,131.0080,-242.2464
E190,-114.0068,139.8570,-240.1721
A172,-107.8912,148.5000,-237.7973
A192,-102.6081,158.2860,-233.7892
A193,-92.4209,161.3000,-235.9681
A194,-82.1132,164.1040,-237.8395
A195,-71.6985,166.6940,-239.4009
A196,-60.0797,167.9650,-241.6988
A197,-48.3663,168.9730,-243.6167
A198,-36.5769,169.7150,-245.1515
A199,-24.7300,170.1900,-246.3008
A200,-12.3755,170.6250,-246.9299
A201,0.0000,170.7700,-247.1397
A202,12.3755,170.6250,-246.9299
A203,24.7300,170.1900,-246.3008
A204,36.5769,169.7150,-245.1515
A205,48.3663,168.9730,-243.6167
A206,60.0797,167.9650,-241.6988
A207,71.6985,166.6940,-239.4009
A208,82.1132,164.1040,-237.8395
A209,92.4209,161.3000,-235.9681
A210,102.6081,158.2860,-233.7892
B191,112.6616,155.0660,-231.3056
B192,118.8310,146.4990,-233.7892
B193,124.8455,137.7420,-235.9681
B194,130.6973,128.8050,-237.8395
B195,136.3787,119.7010,-239.4009
B196,141.1786,109.0440,-241.6988
B197,145.7566,98.2150,-243.6167
B198,150.1053,87.2320,-245.1515
B199,154.2180,76.1120,-246.3008
B200,158.4491,64.4960,-246.9299
B201,162.4113,52.7710,-247.1397
B202,166.0976,40.9560,-246.9299
B203,169.5020,29.0720,-246.3008
B204,172.7111,17.6580,-245.1515
B205,175.6486,6.2170,-243.6167
B206,178.3099,-5.2350,-241.6988
B207,180.6909,-16.6780,-239.4009
B208,181.4461,-27.3830,-237.8395
B209,181.9647,-38.0530,-235.9681
B210,182.2463,-48.6730,-233.7892
C191,182.2903,-59.2290,-231.3056
C192,176.0497,-67.7440,-233.7892
C193,169.5797,-76.1700,-235.9681
C194,162.8886,-84.4970,-237.8395
C195,155.9852,-92.7140,-239.4009
C196,147.3329,-100.5720,-241.6988
C197,138.4488,-108.2720,-243.6167
C198,129.3471,-115.8020,-245.1515
C199,120.0420,-123.1500,-246.3008
C200,110.3025,-130.7630,-246.9299
C201,100.3757,-138.1550,-247.1397
C202,90.2785,-145.3120,-246.9299
C203,80.0280,-152.2220,-246.3008
C204,70.1644,-158.8010,-245.1515
C205,60.1905,-165.1300,-243.6167
C206,50.1219,-171.2000,-241.6988
C207,39.9746,-177.0010,-239.4009
C208,30.0266,-181.0270,-237.8395
C209,20.0395,-184.8170,-235.9681
C210,10.0263,-188.3670,-233.7892
D191,0.0000,-191.6710,-231.3056
D192,-10.0263,-188.3670,-233.7892
D193,-20.0395,-184.8170,-235.9681
D194,-30.0266,-181.0270,-237.8395
D195,-39.9746,-177.0010,-239.4009
D196,-50.1219,-171.2000,-241.6988
D197,-60.1905,-165.1300,-243.6167
D198,-70.1644,-158.8010,-245.1515
D199,-80.0280,-152.2220,-246.3008
D200,-90.2785,-145.3120,-246.9299
D201,-100.3757,-138.1550,-247.1397
D202,-110.3025,-130.7630,-246.9299
D203,-120.0420,-123.1500,-246.3008
D204,-129.3471,-115.8020,-245.1515
D205,-138.4488,-108.2720,-243.6167
D206,-147.3329,-100.5720,-241.6988
D207,-155.9852,-92.7140,-239.4009
D208,-162.8886,-84.4970,-237.8395
D209,-169.5797,-76.1700,-235.9681
D210,-176.0497,-67.7440,-233.7892
E191,-182.2903,-59.2290,-231.3056
E192,-182.2463,-48.6730,-233.7892
E193,-181.9647,-38.0530,-235.9681
E194,-181.4461,-27.3830,-237.8395
E195,-180.6909,-16.6780,-239.4009
E196,-178.3099,-5.2350,-241.6988
E197,-175.6486,6.2170,-243.6167
E198,-172.7111,17.6580,-245.1515
E199,-169.5020,29.0720,-246.3008
E200,-166.0976,40.9560,-246.9299
E201,-162.4113,52.7710,-247.1397
E202,-158.4491,64.4960,-246.9299
E203,-154.2180,76.1120,-246.3008
E204,-150.1053,87.2320,-245.1515
E205,-145.7566,98.2150,-243.6167
E206,-141.1786,109.0440,-241.6988
E207,-136.3787,119.7010,-239.4009
E208,-130.6973,128.8050,-237.8395
E209,-124.8455,137.7420,-235.9681
E210,-118.8310,146.4990,-233.7892
A191,-112.6616,155.0660,-231.3056
A212,-107.3639,164.8070,-227.0504
A213,-97.2191,167.8980,-229.3445
A214,-86.9268,170.7830,-231.3376
A215,-76.5441,173.4520,-233.0145
A216,-66.1188,175.8190,-234.4274
A217,-54.4472,176.9710,-236.5523
A218,-42.6608,177.8610,-238.2980
A219,-30.8353,178.4800,-239.6548
A220,-18.5843,179.1700,-240.4015
A221,-6.2089,179.4610,-240.8224
A222,6.2089,179.4610,-240.8224
A223,18.5843,179.1700,-240.4015
A224,30.8353,178.4800,-239.6548
A225,42.6608,177.8610,-238.2980
A226,54.4472,176.9710,-236.5523
A227,66.1188,175.8190,-234.4274
A228,76.5441,173.4520,-233.0145
A229,86.9268,170.7830,-231.3376
A230,97.2191,167.8980,-229.3445
A231,107.3639,164.8070,-227.0504
B211,117.2971,161.4460,-224.5369
B212,123.5633,153.0380,-227.0504
B213,129.6380,144.3450,-229.3445
B214,135.5624,135.4480,-231.3376
B215,141.3088,126.3980,-233.0145
B216,146.7818,117.2140,-234.4274
B217,151.4842,106.4700,-236.5523
B218,155.9723,95.5350,-238.2980
B219,160.2155,84.4800,-239.6548
B220,164.6580,73.0420,-240.4015
B221,168.7588,61.3620,-240.8224
B222,172.5961,49.5520,-240.8224
B223,176.1437,37.6920,-240.4015
B224,179.2727,25.8280,-239.6548
B225,182.3382,14.3890,-238.2980
B226,185.1344,2.9050,-236.5523
B227,187.6455,-8.5510,-234.4274
B228,188.6156,-19.1980,-233.0145
B229,189.2861,-29.8970,-231.3376
B230,189.7227,-40.5770,-229.3445
B231,189.9178,-51.1810,-227.0504
C211,189.7908,-61.6660,-224.5369
C212,183.7302,-70.2240,-227.0504
C213,177.3398,-78.6880,-229.3445
C214,170.7090,-87.0720,-231.3376
C215,163.8777,-95.3330,-233.0145
C216,156.8349,-103.3760,-234.4274
C217,148.0696,-111.1690,-236.5523
C218,139.0570,-118.8160,-238.2980
C219,129.8539,-126.2680,-239.6548
C220,120.3486,-134.0280,-240.4015
C221,110.5075,-141.5370,-240.8224
C222,100.4614,-148.8360,-240.8224
C223,90.2785,-155.8750,-240.4015
C224,79.9614,-162.5170,-239.6548
C225,70.0304,-168.9670,-238.2980
C226,59.9722,-175.1750,-236.5523
C227,49.8525,-181.1040,-234.4274
C228,40.0268,-185.3160,-233.0145
C229,30.0584,-189.2600,-231.3376
C230,20.0360,-192.9760,-229.3445
C231,10.0118,-196.4380,-227.0504
D211,0.0000,-199.5570,-224.5369
D212,-10.0118,-196.4380,-227.0504
D213,-20.0360,-192.9760,-229.3445
D214,-30.0584,-189.2600,-231.3376
D215,-40.0268,-185.3160,-233.0145
D216,-49.8525,-181.1040,-234.4274
D217,-59.9722,-175.1750,-236.5523
D218,-70.0304,-168.9670,-238.2980
D219,-79.9614,-162.5170,-239.6548
D220,-90.2785,-155.8750,-240.4015
D221,-100.4614,-148.8360,-240.8224
D222,-110.5075,-141.5370,-240.8224
D223,-120.3486,-134.0280,-240.4015
D224,-129.8539,-126.2680,-239.6548
D225,-139.0570,-118.8160,-238.2980
D226,-148.0696,-111.1690,-236.5523
D227,-156.8349,-103.3760,-234.4274
D228,-163.8777,-95.3330,-233.0145
D229,-170.7090,-87.0720,-231.3376
D230,-177.3398,-78.6880,-229.3445
D231,-183.7302,-70.2240,-227.0504
E211,-189.7908,-61.6660,-224.5369
E212,-189.9178,-51.1810,-227.0504
E213,-189.7227,-40.5770,-229.3445
E214,-189.2861,-29.8970,-231.3376
E215,-188.6156,-19.1980,-233.0145
E216,-187.6455,-8.5510,-234.4274
E217,-185.1344,2.9050,-236.5523
E218,-182.3381,14.3890,-238.2980
E219,-179.2727,25.8280,-239.6548
E220,-176.1437,37.6920,-240.4015
E221,-172.5961,49.5520,-240.8224
E222,-168.7588,61.3620,-240.8224
E223,-164.6580,73.0420,-240.4015
E224,-160.2155,84.4800,-239.6548
E225,-155.9723,95.5350,-238.2980
E226,-151.4842,106.4700,-236.5523
E227,-146.7818,117.2140,-234.4274
E228,-141.3088,126.3980,-233.0145
E229,-135.5624,135.4480,-231.3376
E230,-129.6380,144.3450,-229.3445
E231,-123.5633,153.0380,-227.0504
A211,-117.2971,161.4460,-224.5369
A233,-111.9174,171.0720,-220.1116
A234,-101.8983,174.2910,-222.4403
A235,-91.6573,177.2610,-224.5391
A236,-81.2964,179.9990,-226.3441
A237,-70.9124,182.4540,-227.8649
A238,-60.4370,184.6740,-229.0924
A239,-48.7016,185.7200,-231.0337
A240,-36.8892,186.4730,-232.6100
A241,-24.6688,187.3160,-233.5473
A242,-12.4071,187.8470,-234.0941
A243,0.0000,188.0070,-234.2940
A244,12.4071,187.8470,-234.0941
A245,24.6688,187.3160,-233.5473
A246,36.8892,186.4730,-232.6100
A247,48.7016,185.7200,-231.0337
A248,60.4371,184.6740,-229.0924
A249,70.9124,182.4540,-227.8649
A250,81.2964,179.9990,-226.3441
A251,91.6573,177.2610,-224.5391
A252,101.8983,174.2910,-222.4403
A253,111.9174,171.0720,-220.1116
B232,121.7923,167.6330,-217.4996
B233,128.1146,159.3040,-220.1116
B234,134.2719,150.7700,-222.4403
B235,140.2610,141.9480,-224.5391
B236,146.0666,132.9400,-226.3441
B237,151.6102,123.8230,-227.8649
B238,156.9586,114.5470,-229.0924
B239,161.5801,103.7090,-231.0337
B240,165.9464,92.7070,-232.6100
B241,170.5250,81.3460,-233.5473
B242,174.8184,69.8480,-234.0941
B243,178.8049,58.0980,-234.2940
B244,182.4864,46.2480,-234.0941
B245,185.7711,34.4230,-233.5473
B246,188.7452,22.5400,-232.6100
B247,191.6794,11.0730,-231.0337
B248,194.3107,-0.4110,-229.0924
B249,195.4364,-11.0600,-227.8649
B250,196.3106,-21.6950,-226.3441
B251,196.9084,-32.3940,-224.5391
B252,197.2485,-43.0520,-222.4403
B253,197.2833,-53.5750,-220.1116
C232,197.0641,-64.0300,-217.4996
C233,191.0965,-72.6160,-220.1116
C234,184.8829,-81.1090,-222.4403
C235,178.3434,-89.5310,-224.5391
C236,171.5705,-97.8370,-226.3441
C237,164.6126,-105.9260,-227.8649
C238,157.4428,-113.8790,-229.0924
C239,148.5636,-121.6240,-231.0337
C240,139.4497,-129.1760,-232.6100
C241,130.0590,-137.0410,-233.5473
C242,120.4508,-144.6780,-234.0941
C243,110.5075,-152.1000,-234.2940
C244,100.3757,-159.2630,-234.0941
C245,90.1441,-166.0410,-233.5473
C246,79.7617,-172.5420,-232.6100
C247,69.7628,-178.8760,-231.0337
C248,59.6536,-184.9270,-229.0924
C249,49.8740,-189.2890,-227.8649
C250,40.0302,-193.4060,-226.3441
C251,30.0387,-197.2810,-224.5391
C252,20.0080,-200.8980,-222.4403
C253,10.0104,-204.1830,-220.1116
D232,0.0000,-207.2050,-217.4996
D233,-10.0104,-204.1830,-220.1116
D234,-20.0080,-200.8980,-222.4403
D235,-30.0387,-197.2810,-224.5391
D236,-40.0302,-193.4060,-226.3441
D237,-49.8740,-189.2890,-227.8649
D238,-59.6536,-184.9270,-229.0924
D239,-69.7628,-178.8760,-231.0337
D240,-79.7617,-172.5420,-232.6100
D241,-90.1441,-166.0410,-233.5473
D242,-100.3757,-159.2630,-234.0941
D243,-110.5075,-152.1000,-234.2940
D244,-120.4508,-144.6780,-234.0941
D245,-130.0590,-137.0410,-233.5473
D246,-139.4497,-129.1760,-232.6100
D247,-148.5636,-121.6240,-231.0337
D248,-157.4428,-113.8790,-229.0924
D249,-164.6126,-105.9260,-227.8649
D250,-171.5705,-97.8370,-226.3441
D251,-178.3434,-89.5310,-224.5391
D252,-184.8829,-81.1090,-222.4403
D253,-191.0965,-72.6160,-220.1116
E232,-197.0641,-64.0300,-217.4996
E233,-197.2833,-53.5750,-220.1116
E234,-197.2485,-43.0520,-222.4403
E235,-196.9084,-32.3940,-224.5391
E236,-196.3106,-21.6950,-226.3441
E237,-195.4364,-11.0600,-227.8649
E238,-194.3107,-0.4110,-229.0924
E239,-191.6794,11.0730,-231.0337
E240,-188.7452,22.5400,-232.6100
E241,-185.7711,34.4230,-233.5473
E242,-182.4864,46.2480,-234.0941
E243,-178.8049,58.0980,-234.2940
E244,-174.8184,69.8480,-234.0941
E245,-170.5250,81.3460,-233.5473
E246,-165.9464,92.7070,-232.6100
E247,-161.5801,103.7090,-231.0337
E248,-156.9586,114.5470,-229.0924
E249,-151.6102,123.8230,-227.8649
E250,-146.0666,132.9400,-226.3441
E251,-140.2610,141.9480,-224.5391
E252,-134.2719,150.7700,-222.4403
E253,-128.1146,159.3040,-220.1116
A232,-121.7923,167.6330,-217.4996
A255,-116.3388,177.1510,-212.8926
A256,-106.3645,180.4490,-215.3254
A257,-96.2735,183.5020,-217.4825
A258,-85.9496,186.3260,-219.3980
A259,-75.6215,188.8840,-221.0080
A260,-65.1732,191.1920,-222.3472
A261,-54.6621,193.2430,-223.4042
A262,-42.8817,194.1550,-225.1781
A263,-30.7123,195.1770,-226.2807
A264,-18.4605,195.8610,-227.0195
A265,-6.2088,196.2040,-227.3891
A266,6.2088,196.2040,-227.3891
A267,18.4605,195.8610,-227.0195
A268,30.7123,195.1770,-226.2807
A269,42.8817,194.1550,-225.1781
A270,54.6621,193.2430,-223.4042
A271,65.1732,191.1920,-222.3472
A272,75.6215,188.8840,-221.0080
A273,85.9496,186.3260,-219.3980
A274,96.2735,183.5020,-217.4825
A275,106.3645,180.4490,-215.3254
A276,116.3388,177.1510,-212.8926
B254,126.1417,173.6200,-210.2018
B255,132.5292,165.3880,-212.8926
B256,138.7485,156.9210,-215.3254
B257,144.7706,148.2670,-217.4825
B258,150.6465,139.3210,-219.3980
B259,156.2707,130.2890,-221.0080
B260,161.6947,121.0650,-222.3472
B261,166.8933,111.7020,-223.4042
B262,171.4012,100.7810,-225.1781
B263,176.1336,89.5220,-226.2807
B264,180.5703,78.0820,-227.0195
B265,184.6820,66.5360,-227.3891
B266,188.5192,54.7260,-227.3891
B267,191.9795,42.9680,-227.0195
B268,195.1148,31.1040,-226.2807
B269,197.9035,19.2150,-225.1781
B270,200.6764,7.7290,-223.4042
B271,201.9739,-2.9010,-222.3472
B272,203.0073,-13.5520,-221.0080
B273,203.7663,-24.1650,-219.3980
B274,204.2709,-34.8560,-217.4825
B275,204.4854,-45.3970,-215.3254
B276,204.4306,-55.9020,-212.8926
C254,204.1016,-66.3160,-210.2018
C255,198.2464,-74.9350,-212.8926
C256,192.1158,-83.4660,-215.3254
C257,185.7466,-91.8680,-217.4825
C258,179.0543,-100.2200,-219.3980
C259,172.2020,-108.3600,-221.0080
C260,165.1060,-116.3690,-222.3472
C261,157.8079,-124.2070,-223.4042
C262,148.8135,-131.8690,-225.1781
C263,139.5688,-139.8490,-226.2807
C264,130.0590,-147.6040,-227.0195
C265,120.3486,-155.0820,-227.3891
C266,110.3025,-162.3810,-227.3891
C267,100.1894,-169.3050,-227.0195
C268,89.8753,-175.9530,-226.2807
C269,79.4294,-182.2800,-225.1781
C270,69.3627,-188.4660,-223.4042
C271,59.6536,-192.9850,-222.3472
C272,49.8439,-197.2590,-221.0080
C273,39.9849,-201.2600,-219.3980
C274,29.9728,-205.0440,-217.4825
C275,20.0144,-208.5050,-215.3254
C276,10.0062,-211.6990,-212.8926
D254,0.0000,-214.6050,-210.2018
D255,-10.0062,-211.6990,-212.8926
D256,-20.0144,-208.5050,-215.3254
D257,-29.9728,-205.0440,-217.4825
D258,-39.9849,-201.2600,-219.3980
D259,-49.8439,-197.2590,-221.0080
D260,-59.6536,-192.9850,-222.3472
D261,-69.3627,-188.4660,-223.4042
D262,-79.4294,-182.2800,-225.1781
D263,-89.8753,-175.9530,-226.2807
D264,-100.1894,-169.3050,-227.0195
D265,-110.3025,-162.3810,-227.3891
D266,-120.3486,-155.0820,-227.3891
D267,-130.0590,-147.6040,-227.0195
D268,-139.5688,-139.8490,-226.2807
D269,-148.8135,-131.8690,-225.1781
D270,-157.8079,-124.2070,-223.4042
D271,-165.1060,-116.3690,-222.3472
D272,-172.2020,-108.3600,-221.0080
D273,-179.0543,-100.2200,-219.3980
D274,-185.7466,-91.8680,-217.4825
D275,-192.1158,-83.4660,-215.3254
D276,-198.2464,-74.9350,-212.8926
E254,-204.1016,-66.3160,-210.2018
E255,-204.4306,-55.9020,-212.8926
E256,-204.4854,-45.3970,-215.3254
E257,-204.2709,-34.8560,-217.4825
E258,-203.7663,-24.1650,-219.3980
E259,-203.0073,-13.5520,-221.0080
E260,-201.9739,-2.9010,-222.3472
E261,-200.6764,7.7290,-223.4042
E262,-197.9035,19.2150,-225.1781
E263,-195.1148,31.1040,-226.2807
E264,-191.9795,42.9680,-227.0195
E265,-188.5192,54.7260,-227.3891
E266,-184.6820,66.5360,-227.3891
E267,-180.5703,78.0820,-227.0195
E268,-176.1336,89.5220,-226.2807
E269,-171.4012,100.7810,-225.1781
E270,-166.8933,111.7020,-223.4042
E271,-161.6947,121.0650,-222.3472
E272,-156.2707,130.2890,-221.0080
E273,-150.6465,139.3210,-219.3980
E274,-144.7706,148.2670,-217.4825
E275,-138.7485,156.9210,-215.3254
E276,-132.5292,165.3880,-212.8926
A254,-126.1417,173.6200,-210.2018
A278,-120.5988,183.0120,-205.4338
A279,-110.7029,186.3900,-207.9516
A280,-100.6651,189.5300,-210.2029
A281,-90.4982,192.4270,-212.1846
A282,-80.2153,195.0770,-213.8944
A283,-69.8295,197.4770,-215.3300
A284,-59.3543,199.6240,-216.4895
A285,-48.8029,201.5150,-217.3715
A286,-36.6734,202.7000,-218.6503
A287,-24.4829,203.5490,-219.5653
A288,-12.2517,204.0580,-220.1148
A289,0.0000,204.2280,-220.2981
A290,12.2517,204.0580,-220.1148
A291,24.4829,203.5490,-219.5653
