主索节点1,主索节点2,主索节点3
D138,D139,D156
D138,D155,D156
D139,D140,D157
D139,D156,D157
D140,D141,D158
D140,D157,D158
D141,D142,D159
D141,D158,D159
D142,D143,D160
D142,D159,D160
D143,D144,D161
D143,D160,D161
D144,D145,D162
D144,D161,D162
D145,D146,D163
D145,D162,D163
D146,D147,D164
D146,D163,D164
D147,D148,D165
D147,D164,D165
D148,D149,D166
D148,D165,D166
D149,D150,D167
D149,D166,D167
D150,D151,D168
D150,D167,D168
D151,D152,D169
D151,D168,D169
D152,D153,D170
D152,D169,D170
D153,E137,D171
D153,D170,D171
E137,E138,E155
E137,D171,E154
E137,E154,E155
E138,E139,E156
E138,E155,E156
E139,E140,E157
E139,E156,E157
E140,E141,E158
E140,E157,E158
E141,E142,E159
E141,E158,E159
E142,E143,E160
E142,E159,E160
E143,E144,E161
E143,E160,E161
E144,E145,E162
E144,E161,E162
E145,E146,E163
E145,E162,E163
E146,E147,E164
E146,E163,E164
E147,E148,E165
E147,E164,E165
E148,E149,E166
E148,E165,E166
E149,E150,E167
E149,E166,E167
E150,E151,E168
E150,E167,E168
E151,E152,E169
E151,E168,E169
E152,E153,E170
E152,E169,E170
E153,A137,E171
E153,E170,E171
A137,A155,A154
A137,E171,A154
A155,A156,A174
A155,A154,A173
A155,A173,A174
A156,A157,A175
A156,A174,A175
A157,A158,A176
A157,A175,A176
A158,A159,A177
A158,A176,A177
A159,A160,A178
A159,A177,A178
A160,A161,A179
A160,A178,A179
A161,A162,A180
A161,A179,A180
A162,A163,A181
A162,A180,A181
A163,A164,A182
A163,A181,A182
A164,A165,A183
A164,A182,A183
A165,A166,A184
A165,A183,A184
A166,A167,A185
A166,A184,A185
A167,A168,A186
A167,A185,A186
A168,A169,A187
A168,A186,A187
A169,A170,A188
A169,A187,A188
A170,A171,A189
A170,A188,A189
A171,B154,A190
A171,A189,A190
B154,B155,B173
B154,A190,B172
B154,B172,B173
B155,B156,B174
B155,B173,B174
B156,B157,B175
B156,B174,B175
B157,B158,B176
B157,B175,B176
B158,B159,B177
B158,B176,B177
B159,B160,B178
B159,B177,B178
B160,B161,B179
B160,B178,B179
B161,B162,B180
B161,B179,B180
B162,B163,B181
B162,B180,B181
B163,B164,B182
B163,B181,B182
B164,B165,B183
B164,B182,B183
B165,B166,B184
B165,B183,B184
B166,B167,B185
B166,B184,B185
B167,B168,B186
B167,B185,B186
B168,B169,B187
B168,B186,B187
B169,B170,B188
B169,B187,B188
B170,B171,B189
B170,B188,B189
B171,C154,B190
B171,B189,B190
C154,C155,C173
C154,B190,C172
C154,C172,C173
C155,C156,C174
C155,C173,C174
C156,C157,C175
C156,C174,C175
C157,C158,C176
C157,C175,C176
C158,C159,C177
C158,C176,C177
C159,C160,C178
C159,C177,C178
C160,C161,C179
C160,C178,C179
C161,C162,C180
C161,C179,C180
C162,C163,C181
C162,C180,C181
C163,C164,C182
C163,C181,C182
C164,C165,C183
C164,C182,C183
C165,C166,C184
C165,C183,C184
C166,C167,C185
C166,C184,C185
C167,C168,C186
C167,C185,C186
C168,C169,C187
C168,C186,C187
C169,C170,C188
C169,C187,C188
C170,C171,C189
C170,C188,C189
C171,D154,C190
C171,C189,C190
D154,D155,D173
D154,C190,D172
D154,D172,D173
D155,D156,D174
D155,D173,D174
D156,D157,D175
D156,D174,D175
D157,D158,D176
D157,D175,D176
D158,D159,D177
D158,D176,D177
D159,D160,D178
D159,D177,D178
D160,D161,D179
D160,D178,D179
D161,D162,D180
D161,D179,D180
D162,D163,D181
D162,D180,D181
D163,D164,D182
D163,D181,D182
D164,D165,D183
D164,D182,D183
D165,D166,D184
D165,D183,D184
D166,D167,D185
D166,D184,D185
D167,D168,D186
D167,D185,D186
D168,D169,D187
D168,D186,D187
D169,D170,D188
D169,D187,D188
D170,D171,D189
D170,D188,D189
D171,E154,D190
D171,D189,D190
E154,E155,E173
E154,D190,E172
E154,E172,E173
E155,E156,E174
E155,E173,E174
E156,E157,E175
E156,E174,E175
E157,E158,E176
E157,E175,E176
E158,E159,E177
E158,E176,E177
E159,E160,E178
E159,E177,E178
E160,E161,E179
E160,E178,E179
E161,E162,E180
E161,E179,E180
E162,E163,E181
E162,E180,E181
E163,E164,E182
E163,E181,E182
E164,E165,E183
E164,E182,E183
E165,E166,E184
E165,E183,E184
E166,E167,E185
E166,E184,E185
E167,E168,E186
E167,E185,E186
E168,E169,E187
E168,E186,E187
E169,E170,E188
E169,E187,E188
E170,E171,E189
E170,E188,E189
E171,A154,E190
E171,E189,E190
A154,A173,A172
A154,E190,A172
A173,A174,A193
A173,A172,A192
A173,A192,A193
A174,A175,A194
A174,A193,A194
A175,A176,A195
A175,A194,A195
A176,A177,A196
A176,A195,A196
A177,A178,A197
A177,A196,A197
A178,A179,A198
A178,A197,A198
A179,A180,A199
A179,A198,A199
A180,A181,A200
A180,A199,A200
A181,A182,A201
A181,A200,A201
A182,A183,A202
A182,A201,A202
A183,A184,A203
A183,A202,A203
A184,A185,A204
A184,A203,A204
A185,A186,A205
A185,A204,A205
A186,A187,A206
A186,A205,A206
A187,A188,A207
A187,A206,A207
A188,A189,A208
A188,A207,A208
A189,A190,A209
A189,A208,A209
A190,B172,A210
A190,A209,A210
B172,B173,B192
B172,A210,B191
B172,B191,B192
B173,B174,B193
B173,B192,B193
B174,B175,B194
B174,B193,B194
B175,B176,B195
B175,B194,B195
B176,B177,B196
B176,B195,B196
B177,B178,B197
B177,B196,B197
B178,B179,B198
B178,B197,B198
B179,B180,B199
B179,B198,B199
B180,B181,B200
B180,B199,B200
B181,B182,B201
B181,B200,B201
B182,B183,B202
B182,B201,B202
B183,B184,B203
B183,B202,B203
B184,B185,B204
B184,B203,B204
B185,B186,B205
B185,B204,B205
B186,B187,B206
B186,B205,B206
B187,B188,B207
B187,B206,B207
B188,B189,B208
B188,B207,B208
B189,B190,B209
B189,B208,B209
B190,C172,B210
B190,B209,B210
C172,C173,C192
C172,B210,C191
C172,C191,C192
C173,C174,C193
C173,C192,C193
C174,C175,C194
C174,C193,C194
C175,C176,C195
C175,C194,C195
C176,C177,C196
C176,C195,C196
C177,C178,C197
C177,C196,C197
C178,C179,C198
C178,C197,C198
C179,C180,C199
C179,C198,C199
C180,C181,C200
C180,C199,C200
C181,C182,C201
C181,C200,C201
C182,C183,C202
C182,C201,C202
C183,C184,C203
C183,C202,C203
C184,C185,C204
C184,C203,C204
C185,C186,C205
C185,C204,C205
C186,C187,C206
C186,C205,C206
C187,C188,C207
C187,C206,C207
C188,C189,C208
C188,C207,C208
C189,C190,C209
C189,C208,C209
C190,D172,C210
C190,C209,C210
D172,D173,D192
D172,C210,D191
D172,D191,D192
D173,D174,D193
D173,D192,D193
D174,D175,D194
D174,D193,D194
D175,D176,D195
D175,D194,D195
D176,D177,D196
D176,D195,D196
D177,D178,D197
D177,D196,D197
D178,D179,D198
D178,D197,D198
D179,D180,D199
D179,D198,D199
D180,D181,D200
D180,D199,D200
D181,D182,D201
D181,D200,D201
D182,D183,D202
D182,D201,D202
D183,D184,D203
D183,D202,D203
D184,D185,D204
D184,D203,D204
D185,D186,D205
D185,D204,D205
D186,D187,D206
D186,D205,D206
D187,D188,D207
D187,D206,D207
D188,D189,D208
D188,D207,D208
D189,D190,D209
D189,D208,D209
D190,E172,D210
D190,D209,D210
E172,E173,E192
E172,D210,E191
E172,E191,E192
E173,E174,E193
E173,E192,E193
E174,E175,E194
E174,E193,E194
E175,E176,E195
E175,E194,E195
E176,E177,E196
E176,E195,E196
E177,E178,E197
E177,E196,E197
E178,E179,E198
E178,E197,E198
E179,E180,E199
E179,E198,E199
E180,E181,E200
E180,E199,E200
E181,E182,E201
E181,E200,E201
E182,E183,E202
E182,E201,E202
E183,E184,E203
E183,E202,E203
E184,E185,E204
E184,E203,E204
E185,E186,E205
E185,E204,E205
E186,E187,E206
E186,E205,E206
E187,E188,E207
E187,E206,E207
E188,E189,E208
E188,E207,E208
E189,E190,E209
E189,E208,E209
E190,A172,E210
E190,E209,E210
A172,A192,A191
A172,E210,A191
A192,A193,A213
A192,A191,A212
A192,A212,A213
A193,A194,A214
A193,A213,A214
A194,A195,A215
A194,A214,A215
A195,A196,A216
A195,A215,A216
A196,A197,A217
A196,A216,A217
A197,A198,A218
A197,A217,A218
A198,A199,A219
A198,A218,A219
A199,A200,A220
A199,A219,A220
A200,A201,A221
A200,A220,A221
A201,A202,A222
A201,A221,A222
A202,A203,A223
A202,A222,A223
A203,A204,A224
A203,A223,A224
A204,A205,A225
A204,A224,A225
A205,A206,A226
A205,A225,A226
A206,A207,A227
A206,A226,A227
A207,A208,A228
A207,A227,A228
A208,A209,A229
A208,A228,A229
A209,A210,A230
A209,A229,A230
A210,B191,A231
A210,A230,A231
B191,B192,B212
B191,A231,B211
B191,B211,B212
B192,B193,B213
B192,B212,B213
B193,B194,B214
B193,B213,B214
B194,B195,B215
B194,B214,B215
B195,B196,B216
B195,B215,B216
B196,B197,B217
B196,B216,B217
B197,B198,B218
B197,B217,B218
B198,B199,B219
B198,B218,B219
B199,B200,B220
B199,B219,B220
B200,B201,B221
B200,B220,B221
B201,B202,B222
B201,B221,B222
B202,B203,B223
B202,B222,B223
B203,B204,B224
B203,B223,B224
B204,B205,B225
B204,B224,B225
B205,B206,B226
B205,B225,B226
B206,B207,B227
B206,B226,B227
B207,B208,B228
B207,B227,B228
B208,B209,B229
B208,B228,B229
B209,B210,B230
B209,B229,B230
B210,C191,B231
B210,B230,B231
C191,C192,C212
C191,B231,C211
C191,C211,C212
C192,C193,C213
C192,C212,C213
C193,C194,C214
C193,C213,C214
C194,C195,C215
C194,C214,C215
C195,C196,C216
C195,C215,C216
C196,C197,C217
C196,C216,C217
C197,C198,C218
C197,C217,C218
C198,C199,C219
C198,C218,C219
C199,C200,C220
C199,C219,C220
C200,C201,C221
C200,C220,C221
C201,C202,C222
C201,C221,C222
C202,C203,C223
C202,C222,C223
C203,C204,C224
C203,C223,C224
C204,C205,C225
C204,C224,C225
C205,C206,C226
C205,C225,C226
C206,C207,C227
C206,C226,C227
C207,C208,C228
C207,C227,C228
C208,C209,C229
C208,C228,C229
C209,C210,C230
C209,C229,C230
C210,D191,C231
C210,C230,C231
D191,D192,D212
D191,C231,D211
D191,D211,D212
D192,D193,D213
D192,D212,D213
D193,D194,D214
D193,D213,D214
D194,D195,D215
D194,D214,D215
D195,D196,D216
D195,D215,D216
D196,D197,D217
D196,D216,D217
D197,D198,D218
D197,D217,D218
D198,D199,D219
D198,D218,D219
D199,D200,D220
D199,D219,D220
D200,D201,D221
D200,D220,D221
D201,D202,D222
D201,D221,D222
D202,D203,D223
D202,D222,D223
D203,D204,D224
D203,D223,D224
D204,D205,D225
D204,D224,D225
D205,D206,D226
D205,D225,D226
D206,D207,D227
D206,D226,D227
D207,D208,D228
D207,D227,D228
D208,D209,D229
D208,D228,D229
D209,D210,D230
D209,D229,D230
D210,E191,D231
D210,D230,D231
E191,E192,E212
E191,D231,E211
E191,E211,E212
E192,E193,E213
E192,E212,E213
E193,E194,E214
E193,E213,E214
E194,E195,E215
E194,E214,E215
E195,E196,E216
E195,E215,E216
E196,E197,E217
E196,E216,E217
E197,E198,E218
E197,E217,E218
E198,E199,E219
E198,E218,E219
E199,E200,E220
E199,E219,E220
E200,E201,E221
E200,E220,E221
E201,E202,E222
E201,E221,E222
E202,E203,E223
E202,E222,E223
E203,E204,E224
E203,E223,E224
E204,E205,E225
E204,E224,E225
E205,E206,E226
E205,E225,E226
E206,E207,E227
E206,E226,E227
E207,E208,E228
E207,E227,E228
E208,E209,E229
E208,E228,E229
E209,E210,E230
E209,E229,E230
E210,A191,E231
E210,E230,E231
A191,A212,A211
A191,E231,A211
A212,A213,A234
A212,A211,A233
A212,A233,A234
A213,A214,A235
A213,A234,A235
A214,A215,A236
A214,A235,A236
A215,A216,A237
A215,A236,A237
A216,A217,A238
A216,A237,A238
A217,A218,A239
A217,A238,A239
A218,A219,A240
A218,A239,A240
A219,A220,A241
A219,A240,A241
A220,A221,A242
A220,A241,A242
A221,A222,A243
A221,A242,A243
A222,A223,A244
A222,A243,A244
A223,A224,A245
A223,A244,A245
A224,A225,A246
A224,A245,A246
A225,A226,A247
A225,A246,A247
A226,A227,A248
A226,A247,A248
A227,A228,A249
A227,A248,A249
A228,A229,A250
A228,A249,A250
A229,A230,A251
A229,A250,A251
A230,A231,A252
A230,A251,A252
A231,B211,A253
A231,A252,A253
B211,B212,B233
B211,A253,B232
B211,B232,B233
B212,B213,B234
B212,B233,B234
B213,B214,B235
B213,B234,B235
B214,B215,B236
B214,B235,B236
B215,B216,B237
B215,B236,B237
B216,B217,B238
B216,B237,B238
B217,B218,B239
B217,B238,B239
B218,B219,B240
B218,B239,B240
B219,B220,B241
B219,B240,B241
B220,B221,B242
B220,B241,B242
B221,B222,B243
B221,B242,B243
B222,B223,B244
B222,B243,B244
B223,B224,B245
B223,B244,B245
B224,B225,B246
B224,B245,B246
B225,B226,B247
B225,B246,B247
B226,B227,B248
B226,B247,B248
B227,B228,B249
B227,B248,B249
B228,B229,B250
B228,B249,B250
B229,B230,B251
B229,B250,B251
B230,B231,B252
B230,B251,B252
B231,C211,B253
B231,B252,B253
C211,C212,C233
C211,B253,C232
C211,C232,C233
C212,C213,C234
C212,C233,C234
C213,C214,C235
C213,C234,C235
C214,C215,C236
C214,C235,C236
C215,C216,C237
C215,C236,C237
C216,C217,C238
C216,C237,C238
C217,C218,C239
C217,C238,C239
C218,C219,C240
C218,C239,C240
C219,C220,C241
C219,C240,C241
C220,C221,C242
C220,C241,C242
C221,C222,C243
C221,C242,C243
C222,C223,C244
C222,C243,C244
C223,C224,C245
C223,C244,C245
C224,C225,C246
C224,C245,C246
C225,C226,C247
C225,C246,C247
C226,C227,C248
C226,C247,C248
C227,C228,C249
C227,C248,C249
C228,C229,C250
C228,C249,C250
C229,C230,C251
C229,C250,C251
C230,C231,C252
C230,C251,C252
C231,D211,C253
C231,C252,C253
D211,D212,D233
D211,C253,D232
D211,D232,D233
D212,D213,D234
D212,D233,D234
D213,D214,D235
D213,D234,D235
D214,D215,D236
D214,D235,D236
D215,D216,D237
D215,D236,D237
D216,D217,D238
D216,D237,D238
D217,D218,D239
D217,D238,D239
D218,D219,D240
D218,D239,D240
D219,D220,D241
D219,D240,D241
D220,D221,D242
D220,D241,D242
D221,D222,D243
D221,D242,D243
D222,D223,D244
D222,D243,D244
D223,D224,D245
D223,D244,D245
D224,D225,D246
D224,D245,D246
D225,D226,D247
D225,D246,D247
D226,D227,D248
D226,D247,D248
D227,D228,D249
D227,D248,D249
D228,D229,D250
D228,D249,D250
D229,D230,D251
D229,D250,D251
D230,D231,D252
D230,D251,D252
D231,E211,D253
D231,D252,D253
E211,E212,E233
E211,D253,E232
E211,E232,E233
E212,E213,E234
E212,E233,E234
E213,E214,E235
E213,E234,E235
E214,E215,E236
E214,E235,E236
E215,E216,E237
E215,E236,E237
E216,E217,E238
E216,E237,E238
E217,E218,E239
E217,E238,E239
E218,E219,E240
E218,E239,E240
E219,E220,E241
E219,E240,E241
E220,E221,E242
E220,E241,E242
E221,E222,E243
E221,E242,E243
E222,E223,E244
E222,E243,E244
E223,E224,E245
E223,E244,E245
E224,E225,E246
E224,E245,E246
E225,E226,E247
E225,E246,E247
E226,E227,E248
E226,E247,E248
E227,E228,E249
E227,E248,E249
E228,E229,E250
E228,E249,E250
E229,E230,E251
E229,E250,E251
E230,E231,E252
E230,E251,E252
E231,A211,E253
E231,E252,E253
A211,A233,A232
A211,E253,A232
A233,A234,A256
A233,A232,A255
A233,A255,A256
A234,A235,A257
A234,A256,A257
A235,A236,A258
A235,A257,A258
A236,A237,A259
A236,A258,A259
A237,A238,A260
A237,A259,A260
A238,A239,A261
A238,A260,A261
A239,A240,A262
A239,A261,A262
A240,A241,A263
A240,A262,A263
A241,A242,A264
A241,A263,A264
A242,A243,A265
A242,A264,A265
A243,A244,A266
A243,A265,A266
A244,A245,A267
A244,A266,A267
A245,A246,A268
A245,A267,A268
A246,A247,A269
A246,A268,A269
A247,A248,A270
A247,A269,A270
A248,A249,A271
A248,A270,A271
A249,A250,A272
A249,A271,A272
A250,A251,A273
A250,A272,A273
A251,A252,A274
A251,A273,A274
A252,A253,A275
A252,A274,A275
A253,B232,A276
A253,A275,A276
B232,B233,B255
B232,A276,B254
B232,B254,B255
B233,B234,B256
B233,B255,B256
B234,B235,B257
B234,B256,B257
B235,B236,B258
B235,B257,B258
B236,B237,B259
B236,B258,B259
B237,B238,B260
B237,B259,B260
B238,B239,B261
B238,B260,B261
B239,B240,B262
B239,B261,B262
B240,B241,B263
B240,B262,B263
B241,B242,B264
B241,B263,B264
B242,B243,B265
B242,B264,B265
B243,B244,B266
B243,B265,B266
B244,B245,B267
B244,B266,B267
B245,B246,B268
B245,B267,B268
B246,B247,B269
B246,B268,B269
B247,B248,B270
B247,B269,B270
B248,B249,B271
B248,B270,B271
B249,B250,B272
B249,B271,B272
B250,B251,B273
B250,B272,B273
B251,B252,B274
B251,B273,B274
B252,B253,B275
B252,B274,B275
B253,C232,B276
B253,B275,B276
C232,C233,C255
C232,B276,C254
C232,C254,C255
C233,C234,C256
C233,C255,C256
C234,C235,C257
C234,C256,C257
C235,C236,C258
C235,C257,C258
C236,C237,C259
C236,C258,C259
C237,C238,C260
C237,C259,C260
C238,C239,C261
C238,C260,C261
C239,C240,C262
C239,C261,C262
C240,C241,C263
C240,C262,C263
C241,C242,C264
C241,C263,C264
C242,C243,C265
C242,C264,C265
C243,C244,C266
C243,C265,C266
C244,C245,C267
C244,C266,C267
C245,C246,C268
C245,C267,C268
C246,C247,C269
C246,C268,C269
C247,C248,C270
C247,C269,C270
C248,C249,C271
C248,C270,C271
C249,C250,C272
C249,C271,C272
C250,C251,C273
C250,C272,C273
C251,C252,C274
C251,C273,C274
C252,C253,C275
C252,C274,C275
C253,D232,C276
C253,C275,C276
D232,D233,D255
D232,C276,D254
D232,D254,D255
D233,D234,D256
D233,D255,D256
D234,D235,D257
D234,D256,D257
D235,D236,D258
D235,D257,D258
D236,D237,D259
D236,D258,D259
D237,D238,D260
D237,D259,D260
D238,D239,D261
D238,D260,D261
D239,D240,D262
D239,D261,D262
D240,D241,D263
D240,D262,D263
D241,D242,D264
D241,D263,D264
D242,D243,D265
D242,D264,D265
D243,D244,D266
D243,D265,D266
D244,D245,D267
D244,D266,D267
D245,D246,D268
D245,D267,D268
D246,D247,D269
D246,D268,D269
D247,D248,D270
D247,D269,D270
D248,D249,D271
D248,D270,D271
D249,D250,D272
D249,D271,D272
D250,D251,D273
D250,D272,D273
D251,D252,D274
D251,D273,D274
D252,D253,D275
D252,D274,D275
D253,E232,D276
D253,D275,D276
E232,E233,E255
E232,D276,E254
E232,E254,E255
E233,E234,E256
E233,E255,E256
E234,E235,E257
E234,E256,E257
E235,E236,E258
E235,E257,E258
E236,E237,E259
E236,E258,E259
E237,E238,E260
E237,E259,E260
E238,E239,E261
E238,E260,E261
E239,E240,E262
E239,E261,E262
E240,E241,E263
E240,E262,E263
E241,E242,E264
E241,E263,E264
E242,E243,E265
E242,E264,E265
E243,E244,E266
E243,E265,E266
E244,E245,E267
E244,E266,E267
E245,E246,E268
E245,E267,E268
E246,E247,E269
E246,E268,E269
E247,E248,E270
E247,E269,E270
E248,E249,E271
E248,E270,E271
E249,E250,E272
E249,E271,E272
E250,E251,E273
E250,E272,E273
E251,E252,E274
E251,E273,E274
E252,E253,E275
E252,E274,E275
E253,A232,E276
E253,E275,E276
A232,A255,A254
A232,E276,A254
A255,A256,A279
A255,A254,A278
A255,A278,A279
A256,A257,A280
A256,A279,A280
A257,A258,A281
A257,A280,A281
A258,A259,A282
A258,A281,A282
A259,A260,A283
A259,A282,A283
A260,A261,A284
A260,A283,A284
A261,A262,A285
A261,A284,A285
A262,A263,A286
A262,A285,A286
A263,A264,A287
A263,A286,A287
A264,A265,A288
A264,A287,A288
A265,A266,A289
A265,A288,A289
A266,A267,A290
A266,A289,A290
A267,A268,A291
A267,A290,A291
A268,A269,A292
A268,A291,A292
A269,A270,A293
A269,A292,A293
A270,A271,A294
A270,A293,A294
A271,A272,A295
A271,A294,A295
A272,A273,A296
A272,A295,A296
A273,A274,A297
A273,A296,A297
A274,A275,A298
A274,A297,A298
A275,A276,A299
A275,A298,A299
A276,B254,A300
A276,A299,A300
B254,B255,B278
B254,A300,B277
B254,B277,B278
B255,B256,B279
B255,B278,B279
B256,B257,B280
B256,B279,B280
B257,B258,B281
B257,B280,B281
B258,B259,B282
B258,B281,B282
B259,B260,B283
B259,B282,B283
B260,B261,B284
B260,B283,B284
B261,B262,B285
B261,B284,B285
B262,B263,B286
B262,B285,B286
B263,B264,B287
B263,B286,B287
B264,B265,B288
B264,B287,B288
B265,B266,B289
B265,B288,B289
B266,B267,B290
B266,B289,B290
B267,B268,B291
B267,B290,B291
B268,B269,B292
B268,B291,B292
B269,B270,B293
B269,B292,B293
B270,B271,B294
B270,B293,B294
B271,B272,B295
B271,B294,B295
B272,B273,B296
B272,B295,B296
B273,B274,B297
B273,B296,B297
B274,B275,B298
B274,B297,B298
B275,B276,B299
B275,B298,B299
B276,C254,B300
B276,B299,B300
C254,C255,C278
C254,B300,C277
C254,C277,C278
C255,C256,C279
C255,C278,C279
C256,C257,C280
C256,C279,C280
C257,C258,C281
C257,C280,C281
C258,C259,C282
C258,C281,C282
C259,C260,C283
C259,C282,C283
C260,C261,C284
C260,C283,C284
C261,C262,C285
C261,C284,C285
C262,C263,C286
C262,C285,C286
C263,C264,C287
C263,C286,C287
C264,C265,C288
C264,C287,C288
C265,C266,C289
C265,C288,C289
C266,C267,C290
C266,C289,C290
C267,C268,C291
C267,C290,C291
C268,C269,C292
C268,C291,C292
C269,C270,C293
C269,C292,C293
C270,C271,C294
C270,C293,C294
C271,C272,C295
C271,C294,C295
C272,C273,C296
C272,C295,C296
C273,C274,C297
C273,C296,C297
C274,C275,C298
C274,C297,C298
C275,C276,C299
C275,C298,C299
C276,D254,C300
C276,C299,C300
D254,D255,D278
D254,C300,D277
D254,D277,D278
D255,D256,D279
D255,D278,D279
D256,D257,D280
D256,D279,D280
D257,D258,D281
D257,D280,D281
D258,D259,D282
D258,D281,D282
D259,D260,D283
D259,D282,D283
D260,D261,D284
D260,D283,D284
D261,D262,D285
D261,D284,D285
D262,D263,D286
D262,D285,D286
D263,D264,D287
D263,D286,D287
D264,D265,D288
D264,D287,D288
D265,D266,D289
D265,D288,D289
D266,D267,D290
D266,D289,D290
D267,D268,D291
D267,D290,D291
D268,D269,D292
D268,D291,D292
D269,D270,D293
D269,D292,D293
D270,D271,D294
D270,D293,D294
D271,D272,D295
D271,D294,D295
D272,D273,D296
D272,D295,D296
D273,D274,D297
D273,D296,D297
D274,D275,D298
D274,D297,D298
D275,D276,D299
D275,D298,D299
D276,E254,D300
D276,D299,D300
E254,E255,E278
E254,D300,E277
E254,E277,E278
E255,E256,E279
E255,E278,E279
E256,E257,E280
E256,E279,E280
E257,E258,E281
E257,E280,E281
E258,E259,E282
E258,E281,E282
E259,E260,E283
E259,E282,E283
E260,E261,E284
E260,E283,E284
E261,E262,E285
E261,E284,E285
E262,E263,E286
E262,E285,E286
E263,E264,E287
E263,E286,E287
E264,E265,E288
E264,E287,E288
E265,E266,E289
E265,E288,E289
E266,E267,E290
E266,E289,E290
E267,E268,E291
E267,E290,E291
E268,E269,E292
E268,E291,E292
E269,E270,E293
E269,E292,E293
E270,E271,E294
E270,E293,E294
E271,E272,E295
E271,E294,E295
E272,E273,E296
E272,E295,E296
E273,E274,E297
E273,E296,E297
E274,E275,E298
E274,E297,E298
E275,E276,E299
E275,E298,E299
E276,A254,E300
E276,E299,E300
A254,A278,A277
A254,E300,A277
A278,A279,A303
A278,A277,A302
A278,A302,A303
A279,A280,A304
A279,A303,A304
A280,A281,A305
A280,A304,A305
A281,A282,A306
A281,A305,A306
A282,A283,A307
A282,A306,A307
A283,A284,A308
A283,A307,A308
A284,A285,A309
A284,A308,A309
A285,A286,A310
A285,A309,A310
A286,A287,A311
A286,A310,A311
A287,A288,A312
A287,A311,A312
A288,A289,A313
A288,A312,A313
A289,A290,A314
A289,A313,A314
A290,A291,A315
A290,A314,A315
A291,A292,A316
A291,A315,A316
A292,A293,A317
A292,A316,A317
A293,A294,A318
A293,A317,A318
A294,A295,A319
A294,A318,A319
A295,A296,A320
A295,A319,A320
A296,A297,A321
A296,A320,A321
A297,A298,A322
A297,A321,A322
A298,A299,A323
A298,A322,A323
A299,A300,A324
A299,A323,A324
A300,B277,A325
A300,A324,A325
B277,B278,B302
B277,A325,B301
B277,B301,B302
B278,B279,B303
B278,B302,B303
B279,B280,B304
B279,B303,B304
B280,B281,B305
B280,B304,B305
B281,B282,B306
B281,B305,B306
B282,B283,B307
B282,B306,B307
B283,B284,B308
B283,B307,B308
B284,B285,B309
B284,B308,B309
B285,B286,B310
B285,B309,B310
B286,B287,B311
B286,B310,B311
B287,B288,B312
B287,B311,B312
B288,B289,B313
B288,B312,B313
B289,B290,B314
B289,B313,B314
B290,B291,B315
B290,B314,B315
B291,B292,B316
B291,B315,B316
B292,B293,B317
B292,B316,B317
B293,B294,B318
B293,B317,B318
B294,B295,B319
B294,B318,B319
B295,B296,B320
B295,B319,B320
B296,B297,B321
B296,B320,B321
B297,B298,B322
B297,B321,B322
B298,B299,B323
B298,B322,B323
B299,B300,B324
B299,B323,B324
B300,C277,B325
B300,B324,B325
C277,C278,C302
C277,B325,C301
C277,C301,C302
C278,C279,C303
C278,C302,C303
C279,C280,C304
C279,C303,C304
C280,C281,C305
C280,C304,C305
C281,C282,C306
C281,C305,C306
C282,C283,C307
C282,C306,C307
C283,C284,C308
C283,C307,C308
C284,C285,C309
C284,C308,C309
C285,C286,C310
C285,C309,C310
C286,C287,C311
C286,C310,C311
C287,C288,C312
C287,C311,C312
C288,C289,C313
C288,C312,C313
C289,C290,C314
C289,C313,C314
C290,C291,C315
C290,C314,C315
C291,C292,C316
C291,C315,C316
C292,C293,C317
C292,C316,C317
C293,C294,C318
C293,C317,C318
C294,C295,C319
C294,C318,C319
C295,C296,C320
C295,C319,C320
C296,C297,C321
C296,C320,C321
C297,C298,C322
C297,C321,C322
C298,C299,C323
C298,C322,C323
C299,C300,C324
C299,C323,C324
C300,D277,C325
C300,C324,C325
D277,D278,D302
D277,C325,D301
D277,D301,D302
D278,D279,D303
D278,D302,D303
D279,D280,D304
D279,D303,D304
D280,D281,D305
D280,D304,D305
D281,D282,D306
D281,D305,D306
D282,D283,D307
D282,D306,D307
D283,D284,D308
D283,D307,D308
D284,D285,D309
D284,D308,D309
D285,D286,D310
D285,D309,D310
D286,D287,D311
D286,D310,D311
D287,D288,D312
D287,D311,D312
D288,D289,D313
D288,D312,D313
D289,D290,D314
D289,D313,D314
D290,D291,D315
D290,D314,D315
D291,D292,D316
D291,D315,D316
D292,D293,D317
D292,D316,D317
D293,D294,D318
D293,D317,D318
D294,D295,D319
D294,D318,D319
D295,D296,D320
D295,D319,D320
D296,D297,D321
D296,D320,D321
D297,D298,D322
D297,D321,D322
D298,D299,D323
D298,D322,D323
D299,D300,D324
D299,D323,D324
D300,E277,D325
D300,D324,D325
E277,E278,E302
E277,D325,E301
E277,E301,E302
E278,E279,E303
E278,E302,E303
E279,E280,E304
E279,E303,E304
E280,E281,E305
E280,E304,E305
E281,E282,E306
E281,E305,E306
E282,E283,E307
E282,E306,E307
E283,E284,E308
E283,E307,E308
E284,E285,E309
E284,E308,E309
E285,E286,E310
E285,E309,E310
E286,E287,E311
E286,E310,E311
E287,E288,E312
E287,E311,E312
E288,E289,E313
E288,E312,E313
E289,E290,E314
E289,E313,E314
E290,E291,E315
E290,E314,E315
E291,E292,E316
