   距离（米）   方位（度）  仰角（度）   时间（秒） 传感器标号
   59605.86       81.59        3.48      216.70       1
   59537.12       98.47        2.45      216.80       1
   59685.03       81.39        3.33      217.30       1
   59572.85       98.86        2.70      217.40       1
   59455.88       81.64        3.72      217.90       1
   59381.72       98.90        3.25      218.00       1
   59394.12       81.21        3.78      218.50       1
   59524.91       98.91        3.23      218.60       1
   59424.41       80.67        3.21      219.10       1
   59277.83       98.91        3.03      219.20       1
   59409.28       80.74        3.63      219.70       1
   59238.87       98.76        2.73      219.80       1
   59263.45       80.52        3.02      220.30       1
   59410.98       99.41        3.13      220.40       1
   59265.80       80.37        3.53      220.90       1
   59206.92       99.44        2.47      221.00       1
   59409.87       80.89        2.58      221.50       1
   59133.98       99.96        3.19      221.60       1
   58986.15       80.53        3.77      222.10       1
   59107.06       99.81        2.61      222.20       1
   59195.32       80.35        3.42      222.70       1
   59081.18       99.54        2.95      222.80       1
   59228.98       80.07        4.02      223.30       1
   59154.87       99.86        2.79      223.40       1
   59108.88       79.90        3.65      223.90       1
   59125.15      100.23        3.28      224.00       1
   58894.45       79.37        3.31      224.50       1
   58982.91       99.98        2.49      224.60       1
   58748.59       80.39        3.18      225.10       1
   59050.98      100.13        3.16      225.20       1
   58665.52       79.59        3.62      225.70       1
   58863.05      100.51        3.09      225.80       1
   58568.96       79.16        3.22      226.30       1
   58604.47      100.74        3.01      226.40       1
   58659.81       79.35        3.18      226.90       1
   58348.89      100.66        2.59      227.00       1
   58408.23       79.12        4.05      227.50       1
   58320.15      100.53        2.89      227.60       1
   58526.78       78.85        3.66      228.10       1
   58454.57      101.12        2.98      228.20       1
   58187.14       79.59        3.80      228.70       1
   58165.68      101.01        3.09      228.80       1
   58206.60       78.98        3.41      229.30       1
   58027.96      100.74        3.11      229.40       1
   57965.95       78.32        3.21      229.90       1
   58015.35      100.96        3.00      230.00       1
   57878.55       78.87        3.70      230.50       1
   57974.13      101.06        3.22      230.60       1
   57748.60       79.15        3.40      231.10       1
   57761.77      101.41        2.81      231.20       1
   57558.21       79.23        3.30      231.70       1
   57436.41      101.75        2.95      231.80       1
   57344.71       78.33        3.49      232.30       1
   57292.18      101.31        2.90      232.40       1
   57321.87       78.39        3.39      232.90       1
   57105.41      101.26        2.67      233.00       1
   57068.89       78.61        3.66      233.50       1
   57195.15      100.88        3.23      233.60       1
   56771.61       78.79        4.00      234.10       1
   57028.34      101.01        3.38      234.20       1
   56909.82       79.05        3.51      234.70       1
   56807.30      102.03        3.37      234.80       1
   56603.55       78.63        3.87      235.30       1
   56693.83      101.85        3.05      235.40       1
   56555.95       78.44        3.55      235.90       1
   56523.03      101.01        2.90      236.00       1
   56488.94       78.56        4.00      236.50       1
   56324.84      101.56        2.89      236.60       1
   56240.60       79.12        3.78      237.10       1
   56204.96      101.27        2.90      237.20       1
   56139.90       78.86        3.34      237.70       1
   55970.52      101.42        2.97      237.80       1
   55863.63       78.65        3.06      238.30       1
   56067.87      101.36        3.43      238.40       1
   55709.25       78.67        3.58      238.90       1
   55941.09      101.07        2.99      239.00       1
   55696.88       78.89        4.06      239.50       1
   55778.28      101.47        2.99      239.60       1
   55517.94       79.02        3.20      240.10       1
   55505.94      100.84        3.16      240.20       1
   55398.61       78.76        3.85      240.70       1
   55451.34      100.87        3.02      240.80       1
   55351.38       79.36        3.39      241.30       1
   55186.01      100.62        3.19      241.40       1
   55108.36       79.11        3.57      241.90       1
   54977.47      101.03        2.99      242.00       1
   55022.13       79.41        3.44      242.50       1
   55048.46      100.51        3.71      242.60       1
   55033.40       79.46        3.44      243.10       1
   55036.72      100.76        2.76      243.20       1
   54975.36       80.12        3.40      243.70       1
   54891.55      100.46        3.06      243.80       1
   54749.74       79.74        3.30      244.30       1
   54818.82       99.90        2.88      244.40       1
   54851.43       79.92        3.82      244.90       1
   54707.63       99.88        3.36      245.00       1
   54616.11       80.39        3.87      245.50       1
   54680.90      100.19        3.00      245.60       1
   54646.22       79.90        3.91      246.10       1
   54561.50       99.85        3.13      246.20       1
   54399.23       80.03        3.59      246.70       1
   54669.93       99.84        3.16      246.80       1
   54604.42       80.36        3.66      247.30       1
   54502.23       99.71        2.53      247.40       1
   54766.40       81.55        4.04      247.90       1
   54603.23       99.47        3.63      248.00       1
   54634.83       80.93        3.48      248.50       1
   54571.29       99.06        3.45      248.60       1
   54786.82       81.14        4.06      249.10       1
   54759.83       99.40        3.17      249.20       1
   54536.87       81.17        3.87      249.70       1
   54476.82       99.17        3.13      249.80       1
   54510.08       81.13        3.78      250.30       1
   54634.94       98.59        2.62      250.40       1
   54519.50       81.27        3.57      250.90       1
   54414.25       98.48        3.75      251.00       1
   54599.50       81.71        3.88      251.50       1
   54369.63       97.84        3.43      251.60       1
   54525.22       82.17        3.52      252.10       1
   54475.52       97.95        2.68      252.20       1
   54476.86       81.54        3.82      252.70       1
   54553.50       98.28        3.79      252.80       1
   54299.51       82.04        3.77      253.30       1
   54479.42       97.92        2.59      253.40       1
   54344.98       82.23        3.40      253.90       1
   54306.81       98.07        3.00      254.00       1
   54396.91       82.31        4.04      254.50       1
   54395.85       96.91        3.40      254.60       1
   54315.81       82.97        3.50      255.10       1
   54447.17       97.91        3.31      255.20       1
   54438.00       82.56        3.79      255.70       1
   54359.98       97.03        3.15      255.80       1
   54436.77       82.81        4.15      256.30       1
   54207.27       96.75        2.80      256.40       1
   54228.97       82.72        3.65      256.90       1
   54177.17       97.01        3.15      257.00       1
   54185.96       83.63        3.70      257.50       1
   54274.77       96.90        3.64      257.60       1
   54084.16       83.27        3.72      258.10       1
   54165.86       96.29        3.06      258.20       1
   54231.88       83.70        3.32      258.70       1
   54215.67       96.18        3.03      258.80       1
   54361.16       83.81        3.97      259.30       1
   54151.47       96.40        3.70      259.40       1
   54171.42       83.64        3.41      259.90       1
   54131.29       96.08        2.62      260.00       1
   54180.65       83.58        3.19      260.50       1
   54092.80       96.15        2.86      260.60       1
   54232.15       84.08        3.36      261.10       1
   53992.13       95.90        3.49      261.20       1
   54116.61       83.94        3.55      261.70       1
   53951.24       95.57        3.01      261.80       1
   54232.92       83.91        3.92      262.30       1
   54036.43       95.26        3.50      262.40       1
   53846.75       84.70        3.34      262.90       1
   53946.58       95.08        3.09      263.00       1
   53971.12       84.41        3.75      263.50       1
   53855.00       95.20        2.77      263.60       1
   54083.72       84.77        3.69      264.10       1
   53881.06       95.36        3.23      264.20       1
   53953.12       85.30        3.31      264.70       1
   53892.07       95.38        3.21      264.80       1
   53994.87       84.92        3.47      265.30       1
   53666.67       94.54        2.89      265.40       1
   53964.92       85.09        3.94      265.90       1
   53880.49       94.49        3.31      266.00       1
   53829.77       85.68        3.15      266.50       1
   53551.69       94.23        3.54      266.60       1
   53898.81       85.95        3.78      267.10       1
   53875.43       94.69        3.87      267.20       1
   53788.56       85.94        3.69      267.70       1
   53750.01       94.05        3.43      267.80       1
   53780.31       85.86        4.45      268.30       1
   53705.43       94.34        2.52      268.40       1
   53574.13       86.35        3.58      268.90       1
   53547.91       94.04        3.35      269.00       1
   53725.98       86.26        3.52      269.50       1
   53534.51       93.41        3.25      269.60       1
   53519.31       86.29        4.06      270.10       1
   53749.10       93.22        3.03      270.20       1
   53660.57       86.63        4.17      270.70       1
   53576.26       93.51        3.55      270.80       1
   53582.09       86.22        3.75      271.30       1
   53752.42       92.95        3.57      271.40       1
   53662.47       87.30        3.22      271.90       1
   53609.52       93.11        3.22      272.00       1
   53481.28       87.24        3.93      272.50       1
   53556.38       93.38        3.16      272.60       1
   53538.89       87.05        3.64      273.10       1
   53455.10       92.75        2.88      273.20       1
   53585.82       87.65        3.97      273.70       1
   53465.71       92.02        3.24      273.80       1
   53451.28       87.18        3.60      274.30       1
   53277.22       91.96        3.40      274.40       1
   53603.07       88.03        3.45      274.90       1
   53328.94       92.42        3.30      275.00       1
   53312.55       87.68        3.63      275.50       1
   53397.67       91.75        3.53      275.60       1
   53289.47       88.44        3.88      276.10       1
   53294.47       92.29        2.95      276.20       1
   53208.30       88.38        3.89      276.70       1
   53462.39       92.31        3.81      276.80       1
   53321.89       88.85        3.78      277.30       1
   53411.65       91.58        3.15      277.40       1
   53218.71       88.59        3.54      277.90       1
   53331.21       91.53        3.52      278.00       1
   53267.13       89.16        4.05      278.50       1
   53112.59       91.31        3.29      278.60       1
   53138.38       88.95        3.89      279.10       1
   53136.50       91.22        2.95      279.20       1
   53211.06       88.99        3.74      279.70       1
   53153.91       91.06        3.25      279.80       1
   53243.42       89.29        3.96      280.30       1
   53113.70       90.70        3.31      280.40       1
   53110.83       89.31        4.30      280.90       1
   53050.05       91.01        2.65      281.00       1
   53081.27       89.17        4.25      281.50       1
   52902.52       89.14        3.84      282.10       1
   53069.78       89.67        3.58      282.70       1
   52961.67       90.05        4.47      283.30       1
   52740.94       89.87        3.77      283.90       1
   52922.93       90.37        4.06      284.50       1
   52816.27       91.52        2.96      285.10       1
   52920.91       89.92        2.83      285.70       1
   52744.53       89.66        3.30      286.00       1
   52756.06       90.65        3.40      286.30       1
   52737.41       89.21        3.28      286.60       1
   52873.04       91.49        3.93      286.90       1
   52760.77       89.46        2.82      287.20       1
   52597.65       91.42        4.20      287.50       1
   52845.03       89.11        3.14      287.80       1
   52563.03       91.01        4.01      288.10       1
   52658.57       88.44        3.23      288.40       1
   52616.12       91.59        3.53      288.70       1
   52357.41       88.34        3.21      289.00       1
   52809.56       91.70        4.14      289.30       1
   52623.22       88.45        2.94      289.60       1
   52651.01       91.78        3.55      289.90       1
   52593.00       88.46        3.31      290.20       1
   52577.89       91.69        3.90      290.50       1
   52582.33       87.86        3.44      290.80       1
   52442.47       91.85        3.75      291.10       1
   52580.07       88.29        3.08      291.40       1
   52633.74       92.40        4.09      291.70       1
   52313.44       87.39        2.65      292.00       1
   52475.21       92.50        3.50      292.30       1
   52444.02       87.42        2.90      292.60       1
   52503.71       92.43        3.72      292.90       1
   52239.47       86.72        3.65      293.20       1
   52287.59       92.53        3.84      293.50       1
   52357.46       87.32        3.41      293.80       1
   52245.53       92.63        3.79      294.10       1
   52256.56       87.19        4.27      294.40       1
   52343.64       92.96        3.70      294.70       1
   52300.75       86.54        3.68      295.00       1
   52108.84       93.42        3.79      295.30       1
   52359.93       86.90        3.07      295.60       1
   52131.29       93.34        3.70      295.90       1
   52303.09       86.92        3.32      296.20       1
   52393.45       94.05        3.56      296.50       1
   52147.15       86.55        3.35      296.80       1
   52315.37       93.72        3.76      297.10       1
   52141.05       86.86        3.36      297.40       1
   52108.13       93.48        4.24      297.70       1
   52057.72       86.09        2.75      298.00       1
   52049.45       93.73        3.46      298.30       1
   52064.02       86.24        3.42      298.60       1
   52001.72       93.61        3.65      298.90       1
   52340.10       85.82        3.47      299.20       1
   52080.18       93.98        3.61      299.50       1
   52047.87       85.77        3.84      299.80       1
   52057.88       94.41        3.65      300.10       1
   51804.99       85.40        3.08      300.40       1
   51885.15       94.94        3.91      300.70       1
   51905.98       85.71        3.04      301.00       1
   51846.36       94.69        4.10      301.30       1
   51796.11       84.82        3.32      301.60       1
   51995.78       95.06        3.60      301.90       1
   51945.73       84.98        3.12      302.20       1
   51815.25       94.79        3.99      302.50       1
   51857.28       85.10        3.50      302.80       1
   51824.71       95.19        4.15      303.10       1
   51578.71       84.12        3.78      303.40       1
   51643.36       95.31        3.98      303.70       1
   51795.21       85.04        3.46      304.00       1
   51767.86       95.45        3.77      304.30       1
   51766.08       84.37        3.00      304.60       1
   51768.66       96.08        4.03      304.90       1
   51637.26       84.39        3.35      305.20       1
   51584.97       95.42        4.20      305.50       1
   51674.88       83.65        3.45      305.80       1
   51567.27       96.28        3.78      306.10       1
   51631.68       83.71        3.47      306.40       1
   51366.78       95.84        3.30      306.70       1
   51623.30       83.66        3.24      307.00       1
   51794.19       96.21        3.77      307.30       1
   51597.11       83.20        3.01      307.60       1
   51503.99       96.70        4.03      307.90       1
   51427.41       83.07        3.89      308.20       1
   51520.55       96.71        3.90      308.50       1
   51397.80       82.90        3.54      308.80       1
   51397.74       96.36        4.02      309.10       1
   51311.07       82.49        3.35      309.40       1
   51401.34       97.33        3.88      309.70       1
   51282.54       82.84        3.41      310.00       1
   51262.70       97.21        4.46      310.30       1
   51335.12       82.81        3.34      310.60       1
   51394.64       97.04        3.62      310.90       1
   51370.69       82.69        3.14      311.20       1
   51328.35       97.04        3.88      311.50       1
   51209.15       82.71        3.38      311.80       1
   51370.93       97.24        4.29      312.10       1
   51284.19       82.37        3.26      312.40       1
   51451.76       97.55        3.51      312.70       1
   51048.61       82.20        2.77      313.00       1
   51212.50       97.83        3.88      313.30       1
   51032.04       81.32        3.40      313.60       1
   51122.85       97.88        3.66      313.90       1
   51248.78       81.85        2.75      314.20       1
   51115.63       98.03        3.36      314.50       1
   50965.33       81.50        3.68      314.80       1
   51013.10       98.13        3.76      315.10       1
   51037.11       81.10        3.67      315.40       1
   51138.53       98.30        3.52      315.70       1
   50985.04       81.34        3.51      316.00       1
   51051.31       98.86        3.74      316.30       1
   51033.03       81.09        3.11      316.60       1
   50845.88       98.63        3.80      316.90       1
   50766.09       80.99        2.94      317.20       1
   50836.55       98.95        4.13      317.50       1
   50792.63       81.26        2.83      317.80       1
   50877.25       99.66        3.90      318.10       1
   50739.66       80.68        3.76      318.40       1
   50835.19       99.27        3.96      318.70       1
   50783.90       80.67        3.43      319.00       1
   50791.75      100.08        3.89      319.30       1
   50995.41       80.39        3.32      319.60       1
   50603.28       99.84        3.68      319.90       1
   50703.88       80.22        3.25      320.20       1
   50765.38      100.51        3.95      320.50       1
   50608.21       80.14        3.31      320.80       1
   50653.39       99.88        4.25      321.10       1
   50676.45       79.68        3.45      321.40       1
   50652.30      100.08        3.80      321.70       1
   50651.68       79.39        3.74      322.00       1
   50496.05      100.26        3.82      322.30       1
   50393.62       79.33        3.08      322.60       1
   50596.17      100.47        4.42      322.90       1
   50422.05       79.71        3.50      323.20       1
   50228.02      100.22        4.15      323.50       1
   50338.83       79.00        4.19      323.80       1
   50465.43      100.72        3.86      324.10       1
   50309.64       79.19        3.41      324.40       1
   50335.89      101.28        4.86      324.70       1
   50351.27       79.09        3.42      325.00       1
   50299.67      100.71        4.19      325.30       1
   50384.46       78.74        3.49      325.60       1
   50197.48      101.72        4.36      325.90       1
   50103.60       78.46        3.49      326.20       1
   50202.65      102.23        3.95      326.50       1
   50067.12       78.41        3.03      326.80       1
   50183.53      101.54        3.87      327.10       1
   49983.55       78.05        3.97      327.40       1
   49980.37      101.93        3.75      327.70       1
   50031.07       77.88        3.42      328.00       1
   49965.06      102.00        3.79      328.30       1
   49993.75       78.28        3.03      328.60       1
   49801.03      102.34        4.31      328.90       1
   49825.37       77.84        3.17      329.20       1
   49703.19      102.05        4.24      329.50       1
   49714.03       77.77        3.47      329.80       1
   49913.41      101.76        3.77      330.10       1
   49557.14       77.95        3.31      330.40       1
   49738.96      102.60        4.41      330.70       1
   49418.06       78.07        3.39      331.00       1
   49261.15      102.65        3.75      331.30       1
   49443.32       77.19        3.02      331.60       1
   49279.07      102.91        4.57      331.90       1
   49144.18       77.30        3.78      332.20       1
   49133.00      102.61        3.71      332.50       1
   49132.78       77.54        3.69      332.80       1
   49121.00      103.12        4.61      333.10       1
   48812.74       77.47        3.65      333.40       1
   48780.16      103.14        4.12      333.70       1
   48679.30       75.93        3.42      334.00       1
   48589.66      103.34        4.52      334.30       1
   48685.74       76.97        3.15      334.60       1
   48680.05      103.27        4.23      334.90       1
   48573.72       77.24        3.58      335.20       1
   48519.10      102.71        3.93      335.50       1
   48274.50       77.03        3.32      335.80       1
   48335.59      102.34        4.31      336.10       1
   48049.76       77.58        3.75      336.40       1
   48189.98      102.98        4.04      336.70       1
   47972.96       77.21        4.15      337.00       1
   47844.07      102.88        3.90      337.30       1
   47881.82       76.83        3.83      337.60       1
   47805.33      102.42        4.16      337.90       1
   47626.10       77.06        3.37      338.20       1
   47617.21      102.98        4.38      338.50       1
   47547.87       77.27        3.74      338.80       1
   47793.36      103.17        4.33      339.10       1
   47450.24       77.87        3.02      339.40       1
   47407.88      103.21        4.12      339.70       1
   47383.42       76.90        3.57      340.00       1
   47289.68      102.59        4.13      340.30       1
   47120.92       77.36        3.55      340.60       1
   47342.49      103.35        4.37      340.90       1
   47128.13       76.97        3.50      341.20       1
   46859.87      102.22        3.92      341.50       1
   46939.81       77.14        4.07      341.80       1
   46929.64      102.68        4.44      342.10       1
   46884.51       77.24        3.00      342.40       1
   46785.34      102.56        4.38      342.70       1
   46659.56       78.28        3.58      343.00       1
   46660.30      101.81        4.61      343.30       1
   46535.80       77.58        4.49      343.60       1
   46501.23      102.12        4.08      343.90       1
   46490.51       78.26        3.37      344.20       1
   46353.34      101.94        4.27      344.50       1
   46490.90       78.25        3.98      344.80       1
   46542.93      101.44        4.57      345.10       1
   46689.63       78.95        3.92      345.40       1
   46626.21      101.48        4.06      345.70       1
   46525.39       78.41        4.07      346.00       1
   46660.38      101.26        4.62      346.30       1
   46432.21       78.71        3.52      346.60       1
   46368.97      101.22        4.30      346.90       1
   46211.81       78.97        4.18      347.20       1
   46402.15      101.34        4.35      347.50       1
   46069.51       78.84        3.81      347.80       1
   46290.97      100.82        4.01      348.10       1
   46086.12       79.14        3.54      348.40       1
   45988.37      100.66        4.68      348.70       1
   45996.72       79.40        4.21      349.00       1
   46026.04      100.65        4.33      349.30       1
   45847.20       79.40        4.07      349.60       1
   45979.82      100.26        4.42      349.90       1
   45985.16       79.44        3.72      350.20       1
   45728.00      100.18        4.76      350.50       1
   45688.02       80.00        3.58      350.80       1
   45783.69      100.51        4.13      351.10       1
   45647.84       79.85        3.61      351.40       1
   45543.10      100.23        4.70      351.70       1
   45578.83       80.51        3.57      352.00       1
   45658.43       99.43        4.09      352.30       1
   45626.29       80.36        3.69      352.60       1
   45513.28       99.50        4.47      352.90       1
   45503.86       80.56        3.53      353.20       1
   45254.47       99.15        4.88      353.50       1
   45109.41       80.58        3.75      353.80       1
   45229.46       98.93        4.16      354.10       1
   45107.40       80.92        4.14      354.40       1
   45194.01       99.06        4.51      354.70       1
   45151.32       81.23        4.34      355.00       1
   45301.43       98.85        4.55      355.30       1
   44827.12       81.08        3.41      355.60       1
   45003.94       98.55        4.29      355.90       1
   45035.94       81.16        3.91      356.20       1
   45041.06       98.81        5.02      356.50       1
   44906.67       81.67        3.71      356.80       1
   44922.49       98.51        4.42      357.10       1
   44887.89       80.95        4.49      357.40       1
   44704.28       98.33        4.21      357.70       1
   44776.04       81.82        3.50      358.00       1
   44797.73       98.17        4.06      358.30       1
   44724.37       82.02        3.99      358.60       1
   44659.45       97.91        4.69      358.90       1
   44600.84       82.24        3.94      359.20       1
   44641.50       97.90        4.81      359.50       1
   44417.03       81.88        4.05      359.80       1
   44349.93       97.59        4.47      360.10       1
   44327.95       82.27        3.36      360.40       1
   44497.14       97.55        4.32      360.70       1
   44215.65       82.73        3.93      361.00       1
   44299.51       97.20        4.90      361.30       1
   44029.40       83.00        4.00      361.60       1
   44407.04       97.19        3.96      361.90       1
   44023.14       82.68        3.90      362.20       1
   44214.59       96.90        4.35      362.50       1
   44090.71       82.94        3.51      362.80       1
   44068.96       96.71        4.29      363.10       1
   44109.24       83.08        3.89      363.40       1
   43980.13       97.05        4.91      363.70       1
   43970.90       83.53        3.46      364.00       1
   43916.04       96.21        4.83      364.30       1
   43892.97       83.69        3.48      364.60       1
   43757.93       96.32        4.48      364.90       1
   43861.62       84.02        3.78      365.20       1
   43895.20       95.70        5.00      365.50       1
   43654.20       83.95        3.93      365.80       1
   43689.23       95.72        4.36      366.10       1
   43651.51       84.17        3.67      366.40       1
   43564.24       95.77        4.57      366.70       1
   43581.96       83.86        3.98      367.00       1
   43456.73       95.90        4.65      367.30       1
   43363.39       83.50        4.10      367.60       1
   43375.59       95.47        4.85      367.90       1
   43273.57       84.44        4.08      368.20       1
   43355.00       95.84        4.67      368.50       1
   43419.62       84.73        4.08      368.80       1
   43430.99       95.39        5.40      369.10       1
   43265.14       85.21        3.57      369.40       1
   43312.60       94.69        4.93      369.70       1
   43329.04       85.06        3.83      370.00       1
   43241.07       94.91        4.49      370.30       1
   43059.99       85.25        4.31      370.60       1
   43015.98       94.59        4.29      370.90       1
   43166.55       85.67        4.12      371.20       1
   43012.64       94.12        5.23      371.50       1
   42879.48       85.91        3.32      371.80       1
   43232.01       94.59        4.84      372.10       1
   42860.79       85.37        3.66      372.40       1
   42808.47       93.97        4.47      372.70       1
   42857.64       86.10        3.70      373.00       1
   42839.50       94.08        4.88      373.30       1
   42645.97       86.19        4.45      373.60       1
   42665.31       93.63        4.72      373.90       1
   42516.11       85.93        3.74      374.20       1
   42721.81       93.42        5.14      374.50       1
   42625.24       86.78        4.63      374.80       1
   42487.58       93.37        4.53      375.10       1
   42514.59       86.62        4.09      375.40       1
   42460.55       93.06        4.93      375.70       1
   42641.13       86.89        3.95      376.00       1
   42548.69       93.01        4.02      376.30       1
   42449.67       87.71        4.09      376.60       1
   42409.49       92.84        4.65      376.90       1
   42458.23       87.23        3.93      377.20       1
   42325.46       92.97        4.92      377.50       1
   42224.27       87.67        3.94      377.80       1
   42316.64       92.29        4.94      378.10       1
   42175.05       87.61        3.88      378.40       1
   42223.15       92.15        4.83      378.70       1
   42142.14       87.74        3.91      379.00       1
   42107.76       91.82        4.52      379.30       1
   42119.41       88.65        4.09      379.60       1
   42299.97       91.67        5.11      379.90       1
   41990.96       88.03        4.06      380.20       1
   42086.46       91.83        4.98      380.50       1
   41927.22       88.15        4.34      380.80       1
   42012.05       91.90        4.68      381.10       1
   41994.15       88.84        4.18      381.40       1
   41895.28       91.52        4.88      381.70       1
   41799.32       88.55        4.72      382.00       1
   41929.68       91.25        4.90      382.30       1
   41811.38       88.87        4.29      382.60       1
   41902.78       90.61        4.53      382.90       1
   41661.96       88.64        4.40      383.20       1
   41683.02       91.23        5.41      383.50       1
   41672.48       89.51        4.17      383.80       1
   41709.01       89.81        5.39      384.10       1
   41781.94       89.87        5.25      384.70       1
   41634.54       90.51        5.03      385.30       1
   41512.25       90.30        3.85      385.90       1
   41745.86       89.72        5.63      386.50       1
   41439.95       88.59        5.39      387.10       1
   41393.10       89.53        4.25      387.70       1
   41422.24       90.56        3.85      387.90       1
   41507.84       89.64        5.19      388.30       1
   41440.66       90.72        4.26      388.50       1
   41179.20       88.60        4.76      388.90       1
   41206.43       90.83        4.43      389.10       1
   41271.78       89.20        4.68      389.50       1
   41167.61       91.91        3.80      389.70       1
   41157.94       88.78        4.74      390.10       1
   41068.72       91.57        4.65      390.30       1
   41160.73       88.24        4.93      390.70       1
   41189.44       91.66        3.64      390.90       1
   41063.31       87.99        5.36      391.30       1
   41015.54       92.14        4.59      391.50       1
   40974.71       88.22        4.78      391.90       1
   41099.25       92.17        4.16      392.10       1
   41083.55       88.05        4.86      392.50       1
   40997.50       92.29        3.97      392.70       1
   40740.62       88.25        4.66      393.10       1
   40843.60       92.08        4.91      393.30       1
   40886.64       87.92        5.41      393.70       1
   40862.71       92.26        4.17      393.90       1
   40982.09       86.77        4.67      394.30       1
   40867.63       92.53        4.54      394.50       1
   40695.49       86.72        4.91      394.90       1
   40917.96       93.17        4.61      395.10       1
   40762.89       86.54        4.66      395.50       1
   40759.52       93.34        4.26      395.70       1
   40572.12       86.45        4.47      396.10       1
   40494.97       92.82        4.23      396.30       1
   40653.70       86.99        4.56      396.70       1
   40752.91       93.72        4.19      396.90       1
   40770.28       85.84        4.69      397.30       1
   40699.37       93.96        3.75      397.50       1
   40784.34       85.98        5.11      397.90       1
   40624.33       93.91        4.00      398.10       1
   40717.84       85.91        5.05      398.50       1
   40531.25       94.21        4.78      398.70       1
   40472.27       85.41        5.08      399.10       1
   40426.38       94.76        3.76      399.30       1
   40484.63       84.59        4.75      399.70       1
   40340.57       94.76        4.67      399.90       1
   40389.30       85.28        4.99      400.30       1
   40487.77       95.28        3.89      400.50       1
   40436.56       84.87        5.01      400.90       1
   40400.88       95.22        3.76      401.10       1
   40411.20       84.85        5.44      401.50       1
   40456.29       95.36        4.09      401.70       1
   40413.31       84.76        4.98      402.10       1
   40410.01       95.60        4.55      402.30       1
   40405.47       84.33        5.14      402.70       1
   40308.86       95.29        4.19      402.90       1
   40179.91       83.53        4.93      403.30       1
   40197.78       95.88        3.87      403.50       1
   40236.07       84.08        5.17      403.90       1
   40082.38       96.19        4.78      404.10       1
   40162.36       83.94        4.39      404.50       1
   40104.57       95.98        4.08      404.70       1
   40382.04       83.35        5.21      405.10       1
   40212.71       96.25        4.34      405.30       1
   40209.89       83.55        5.11      405.70       1
   40065.63       96.78        3.60      405.90       1
   40125.66       83.34        4.93      406.30       1
   40158.02       97.04        4.26      406.50       1
   39914.17       83.51        5.00      406.90       1
   40055.41       97.48        4.21      407.10       1
   39905.65       82.55        5.32      407.50       1
   40011.55       97.66        4.04      407.70       1
   40148.76       82.84        4.26      408.10       1
   40039.07       96.92        4.29      408.30       1
   40104.02       82.24        4.89      408.70       1
   39937.64       97.78        4.55      408.90       1
   39923.93       82.30        4.96      409.30       1
   39815.16       98.01        4.74      409.50       1
   39828.48       82.06        5.47      409.90       1
   39921.29       98.84        4.49      410.10       1
   39816.71       81.87        5.25      410.50       1
   39771.47       98.55        4.46      410.70       1
   40013.87       81.82        5.52      411.10       1
   40000.06       98.76        4.61      411.30       1
   39954.59       80.70        4.53      411.70       1
   39729.28       98.91        4.21      411.90       1
   39692.41       80.90        4.93      412.30       1
   39966.56       99.31        4.48      412.50       1
   39792.00       80.60        4.80      412.90       1
   39789.57       99.09        3.77      413.10       1
   39793.07       79.92        5.78      413.50       1
   39832.77       99.05        4.14      413.70       1
   39712.71       80.50        4.97      414.10       1
   39735.96       99.84        3.94      414.30       1
   39735.58       80.59        5.62      414.70       1
   39744.32       99.76        4.54      414.90       1
   39707.45       80.21        4.74      415.30       1
   39647.44      100.14        4.38      415.50       1
   39655.81       79.46        5.32      415.90       1
   39523.52      100.52        4.09      416.10       1
   39581.94       79.07        5.01      416.50       1
   39644.63      100.84        3.85      416.70       1
   39596.38       78.95        5.28      417.10       1
   39817.33      101.03        4.71      417.30       1
   39593.32       79.54        5.14      417.70       1
   39592.29      100.81        4.72      417.90       1
   39546.68       78.72        5.14      418.30       1
   39601.99      101.22        4.17      418.50       1
   39694.41       78.82        5.24      418.90       1
   39372.14      102.00        4.07      419.10       1
   39607.11       78.44        5.22      419.50       1
   39664.01      101.96        4.35      419.70       1
   39405.11       77.84        5.52      420.10       1
   39739.42      102.72        3.91      420.30       1
   39575.77       77.74        4.19      420.70       1
   39644.45      102.37        4.61      420.90       1
   39534.44       78.02        4.91      421.30       1
   39458.95      102.12        4.56      421.50       1
   39616.87       77.44        5.20      421.90       1
   39386.24      102.27        4.63      422.10       1
   39350.45       77.28        4.90      422.50       1
   39353.60      102.61        4.24      422.70       1
   39358.31       77.72        4.81      423.10       1
   39542.79      102.76        4.93      423.30       1
   39437.34       76.50        5.52      423.70       1
   39240.01      102.78        4.15      423.90       1
   39435.07       76.65        5.23      424.30       1
   39119.49      103.10        3.93      424.50       1
   39205.45       76.27        4.87      424.90       1
   39081.29      103.58        4.31      425.10       1
   39080.44       76.23        4.96      425.50       1
   39010.38      103.71        4.36      425.70       1
   39055.83       76.42        4.82      426.10       1
   38686.04      104.12        4.13      426.30       1
   38890.43       76.00        5.13      426.70       1
   38812.09      103.79        4.98      426.90       1
   38895.51       76.24        5.44      427.30       1
   38732.49      103.79        4.30      427.50       1
   38813.41       75.54        5.33      427.90       1
   38633.52      104.57        4.86      428.10       1
   38549.30       75.92        4.87      428.50       1
   38425.92      104.89        4.52      428.70       1
   38444.01       75.66        5.26      429.10       1
   38245.88      104.75        4.41      429.30       1
   38288.54       75.40        5.53      429.70       1
